sandwich_type,bun_type,fillings,protein,sauce,toppings,spices,side_dish,drink,price
chicken,brioche,lettuce,turkey,mustard,lettuce,pepper,salad,water,10.42
chicken,brioche,cheese,beef,mustard,cheese,pepper,salad,water,12.53
turkey,brioche,lettuce,beef,mustard,tomato,pepper,chips,soda,9.55
turkey,brioche,lettuce,chicken,mustard,tomato,pepper,salad,water,8.83
turkey,brioche,tomato,turkey,mustard,cheese,pepper,chips,water,9.96
chicken,brioche,cheese,turkey,mustard,tomato,pepper,salad,water,9.2
chicken,brioche,tomato,chicken,mustard,lettuce,salt,salad,water,10.52
turkey,brioche,tomato,chicken,mayo,cheese,pepper,salad,water,12.25
turkey,brioche,tomato,beef,mayo,tomato,salt,chips,water,5.45
turkey,brioche,cheese,turkey,mustard,cheese,salt,chips,water,13.88
chicken,brioche,lettuce,chicken,mustard,cheese,pepper,chips,soda,12.21
chicken,brioche,mayo,beef,mayo,lettuce,pepper,salad,water,9.24
turkey,brioche,mayo,chicken,mayo,tomato,pepper,chips,soda,14.54
turkey,brioche,cheese,turkey,mustard,lettuce,pepper,chips,water,13.3
turkey,brioche,cheese,beef,mayo,tomato,pepper,chips,water,11.18
chicken,brioche,cheese,chicken,mustard,lettuce,pepper,salad,soda,6.22
turkey,brioche,cheese,chicken,mayo,lettuce,pepper,chips,water,13.99
chicken,brioche,cheese,beef,mayo,lettuce,salt,chips,water,9.73
turkey,brioche,mayo,turkey,mustard,cheese,pepper,salad,soda,6.57
turkey,brioche,tomato,beef,mustard,cheese,pepper,chips,water,8.46
turkey,brioche,cheese,beef,mayo,cheese,pepper,salad,water,9.36
turkey,brioche,mayo,turkey,mustard,tomato,pepper,chips,soda,7.78
turkey,brioche,lettuce,turkey,mustard,cheese,pepper,salad,water,5.31
chicken,brioche,lettuce,chicken,mustard,lettuce,pepper,salad,water,7.84
chicken,brioche,mayo,turkey,mayo,tomato,pepper,salad,soda,7.54
chicken,brioche,mayo,beef,mayo,cheese,salt,salad,soda,5.68
chicken,brioche,mayo,chicken,mustard,cheese,salt,salad,water,14.79
turkey,brioche,tomato,beef,mustard,lettuce,salt,salad,soda,11.92
turkey,brioche,tomato,beef,mayo,cheese,salt,chips,water,10.52
turkey,brioche,mayo,turkey,mayo,cheese,pepper,salad,soda,6.04
chicken,brioche,mayo,beef,mayo,cheese,pepper,salad,water,6.17
turkey,brioche,cheese,chicken,mayo,tomato,salt,chips,water,11.64
turkey,brioche,cheese,beef,mustard,cheese,pepper,chips,water,5.74
turkey,brioche,mustard,turkey,mustard,cheese,salt,chips,soda,9.74
turkey,brioche,tomato,turkey,mayo,lettuce,pepper,chips,water,7.58
turkey,brioche,tomato,turkey,mustard,lettuce,pepper,salad,soda,10.82
chicken,brioche,mayo,turkey,mustard,cheese,pepper,chips,soda,12.6
turkey,brioche,lettuce,beef,mayo,cheese,salt,salad,soda,13.39
chicken,brioche,lettuce,chicken,mayo,lettuce,pepper,salad,water,9.12
turkey,brioche,mustard,chicken,mayo,tomato,salt,chips,soda,12.94
chicken,brioche,lettuce,beef,mayo,lettuce,pepper,salad,water,5.64
chicken,brioche,cheese,chicken,mustard,tomato,salt,chips,soda,9.52
turkey,brioche,tomato,chicken,mayo,cheese,pepper,chips,water,9.98
turkey,brioche,mustard,turkey,mustard,lettuce,pepper,chips,water,10.41
turkey,brioche,mustard,beef,mustard,cheese,salt,salad,soda,6.95
turkey,brioche,mustard,chicken,mustard,lettuce,pepper,salad,water,6.28
turkey,brioche,tomato,turkey,mayo,lettuce,salt,chips,soda,11.24
turkey,brioche,cheese,turkey,mustard,tomato,salt,salad,water,12.42
turkey,brioche,cheese,chicken,mayo,tomato,pepper,chips,water,14.44
chicken,brioche,mayo,turkey,mustard,lettuce,salt,chips,soda,5.9
turkey,brioche,mayo,chicken,mayo,lettuce,pepper,salad,soda,8.63
chicken,brioche,tomato,chicken,mustard,lettuce,pepper,chips,water,9.09
chicken,brioche,lettuce,turkey,mayo,lettuce,salt,chips,soda,13.35
chicken,brioche,lettuce,beef,mustard,lettuce,salt,salad,water,7.99
turkey,brioche,cheese,turkey,mustard,lettuce,salt,chips,water,7.29
chicken,brioche,mustard,turkey,mayo,lettuce,salt,salad,water,5.88
chicken,brioche,lettuce,beef,mayo,cheese,salt,chips,soda,9.17
chicken,brioche,mayo,turkey,mayo,lettuce,salt,salad,water,8.91
turkey,brioche,lettuce,beef,mustard,tomato,pepper,chips,soda,13.45
turkey,brioche,tomato,beef,mustard,lettuce,pepper,chips,water,9.93
chicken,brioche,lettuce,chicken,mustard,cheese,salt,salad,water,5.54
turkey,brioche,mustard,turkey,mustard,cheese,salt,salad,soda,6.59
chicken,brioche,tomato,turkey,mustard,lettuce,salt,salad,water,5.01
turkey,brioche,lettuce,beef,mustard,cheese,pepper,chips,soda,8.16
turkey,brioche,lettuce,chicken,mustard,tomato,salt,salad,water,5.62
turkey,brioche,cheese,chicken,mustard,lettuce,salt,salad,water,9.83
chicken,brioche,tomato,beef,mayo,tomato,pepper,salad,water,8.55
chicken,brioche,cheese,beef,mustard,lettuce,salt,chips,soda,11.74
chicken,brioche,mustard,turkey,mayo,cheese,pepper,chips,soda,12.66
turkey,brioche,cheese,beef,mustard,lettuce,pepper,chips,water,13.17
turkey,brioche,cheese,beef,mustard,lettuce,pepper,chips,soda,8.09
chicken,brioche,cheese,beef,mayo,tomato,pepper,chips,water,5.72
chicken,brioche,mayo,chicken,mayo,tomato,pepper,salad,soda,7.09
chicken,brioche,lettuce,beef,mayo,tomato,salt,chips,soda,13.66
chicken,brioche,cheese,beef,mayo,tomato,pepper,salad,soda,8.92
turkey,brioche,mustard,turkey,mayo,lettuce,salt,salad,water,6.9
turkey,brioche,cheese,turkey,mayo,lettuce,pepper,salad,soda,5.57
chicken,brioche,mustard,beef,mayo,cheese,salt,chips,soda,13.34
turkey,brioche,tomato,beef,mustard,tomato,pepper,salad,soda,5.93
turkey,brioche,tomato,turkey,mayo,lettuce,salt,chips,soda,8.06
chicken,brioche,cheese,beef,mustard,cheese,salt,salad,water,12.27
chicken,brioche,mustard,turkey,mayo,tomato,pepper,chips,water,14.34
turkey,brioche,lettuce,beef,mayo,cheese,pepper,chips,water,13.4
chicken,brioche,mustard,turkey,mustard,tomato,pepper,salad,soda,14.08
turkey,brioche,lettuce,chicken,mayo,cheese,salt,chips,water,9.91
chicken,brioche,mustard,chicken,mayo,cheese,pepper,chips,water,13.75
chicken,brioche,lettuce,turkey,mayo,tomato,salt,salad,water,5.4
turkey,brioche,mayo,beef,mustard,cheese,pepper,chips,water,14.4
chicken,brioche,cheese,chicken,mayo,cheese,salt,chips,soda,10.97
turkey,brioche,lettuce,turkey,mustard,tomato,pepper,salad,soda,5.38
chicken,brioche,mustard,turkey,mayo,tomato,salt,chips,soda,6.25
chicken,brioche,tomato,turkey,mustard,cheese,pepper,salad,water,6.13
chicken,brioche,tomato,chicken,mustard,lettuce,pepper,salad,soda,13.73
turkey,brioche,tomato,beef,mustard,tomato,salt,chips,soda,13.08
chicken,brioche,mayo,beef,mustard,cheese,pepper,chips,soda,6.73
turkey,brioche,lettuce,beef,mustard,cheese,pepper,chips,water,6.34
chicken,brioche,lettuce,chicken,mayo,lettuce,pepper,salad,soda,14.81
turkey,brioche,cheese,chicken,mayo,tomato,salt,salad,soda,12.93
turkey,brioche,mayo,turkey,mayo,cheese,salt,chips,water,10.6
turkey,brioche,tomato,turkey,mustard,tomato,pepper,salad,water,7.54
turkey,brioche,mayo,beef,mustard,lettuce,pepper,salad,soda,12.34
chicken,brioche,lettuce,turkey,mustard,lettuce,salt,chips,soda,9.54
turkey,brioche,mayo,turkey,mustard,tomato,pepper,salad,soda,6.76
turkey,brioche,mayo,turkey,mayo,cheese,salt,salad,water,14.58
chicken,brioche,mayo,chicken,mustard,cheese,salt,salad,soda,13.92
turkey,brioche,tomato,chicken,mayo,lettuce,pepper,salad,soda,12.87
chicken,brioche,mayo,chicken,mayo,lettuce,salt,salad,soda,5.56
chicken,brioche,mustard,chicken,mustard,lettuce,salt,chips,water,9.31
turkey,brioche,cheese,beef,mustard,tomato,pepper,chips,water,13.1
chicken,brioche,cheese,chicken,mayo,tomato,salt,salad,soda,5.65
turkey,brioche,mayo,turkey,mustard,lettuce,pepper,chips,soda,12.3
turkey,brioche,mustard,chicken,mayo,lettuce,pepper,salad,soda,7.71
turkey,brioche,mustard,beef,mustard,lettuce,pepper,salad,water,5.12
turkey,brioche,mustard,chicken,mayo,tomato,salt,chips,soda,7.96
chicken,brioche,tomato,chicken,mayo,cheese,salt,chips,water,7.19
turkey,brioche,tomato,turkey,mustard,tomato,pepper,salad,water,7.63
turkey,brioche,lettuce,chicken,mayo,tomato,salt,salad,water,14.42
chicken,brioche,cheese,turkey,mustard,tomato,pepper,salad,soda,9.62
turkey,brioche,lettuce,chicken,mustard,tomato,pepper,chips,soda,12.12
turkey,brioche,cheese,beef,mayo,tomato,pepper,chips,water,10.1
turkey,brioche,cheese,turkey,mustard,tomato,salt,chips,water,10.43
turkey,brioche,mayo,turkey,mustard,lettuce,pepper,salad,soda,7.96
chicken,brioche,mustard,turkey,mustard,tomato,salt,salad,water,5.9
turkey,brioche,tomato,turkey,mayo,tomato,pepper,salad,water,13.55
turkey,brioche,lettuce,turkey,mayo,cheese,pepper,salad,water,13.84
chicken,brioche,tomato,chicken,mayo,lettuce,pepper,salad,water,9.98
chicken,brioche,mayo,chicken,mayo,cheese,salt,chips,water,10.77
