sandwich_id,bun_type,patty_type,lettuce,tomato,cheese_type,sauce_type,pickles,onions,price
1,brioche,chicken,false,true,american,mayo,false,false,8.69
2,pretzel,chicken,false,true,american,mustard,false,true,11.66
3,pretzel,chicken,false,true,cheddar,ketchup,false,false,10.76
4,brioche,turkey,true,false,swiss,mustard,true,false,10.56
5,pretzel,chicken,true,false,swiss,ketchup,true,true,9.99
6,pretzel,turkey,true,false,swiss,mayo,true,false,6.3
7,pretzel,chicken,true,true,cheddar,mayo,false,false,12.86
8,brioche,chicken,false,true,cheddar,mayo,true,true,6.24
9,pretzel,turkey,true,true,cheddar,mustard,true,true,8.05
10,brioche,turkey,false,true,cheddar,ketchup,false,true,11.84
11,brioche,chicken,false,false,cheddar,mustard,true,true,9.16
12,pretzel,chicken,false,false,cheddar,ketchup,false,false,11.19
13,pretzel,turkey,false,false,american,ketchup,false,false,11.64
14,pretzel,chicken,true,false,swiss,mustard,true,true,10.97
15,pretzel,chicken,false,true,cheddar,mayo,false,false,7.16
16,brioche,turkey,false,false,cheddar,mayo,false,true,9.94
17,brioche,chicken,false,true,swiss,mustard,false,true,10.57
18,brioche,chicken,false,false,swiss,ketchup,false,true,9.69
19,pretzel,chicken,false,true,american,ketchup,true,true,6.05
20,pretzel,chicken,true,false,swiss,mustard,false,false,11.57
21,pretzel,chicken,true,false,american,mustard,false,false,11.73
22,pretzel,turkey,false,false,cheddar,mayo,true,true,6.52
23,pretzel,turkey,true,false,cheddar,mayo,true,true,8.44
24,brioche,chicken,true,false,american,mustard,false,true,7.99
25,pretzel,turkey,true,false,american,mayo,true,false,11.65
26,brioche,chicken,true,true,swiss,mayo,false,false,10.29
27,pretzel,chicken,true,true,cheddar,ketchup,false,true,11.02
28,brioche,chicken,true,true,cheddar,mustard,true,true,7.16
29,brioche,turkey,true,true,american,ketchup,true,true,8.13
30,brioche,chicken,false,true,swiss,mustard,true,false,10.95
31,pretzel,chicken,true,true,american,ketchup,true,false,9.28
32,brioche,turkey,false,false,american,mayo,true,false,9.83
33,brioche,chicken,true,false,american,mustard,false,true,11.93
34,pretzel,turkey,true,false,swiss,mayo,false,true,11.61
35,brioche,chicken,false,true,cheddar,ketchup,false,true,6.4
36,pretzel,turkey,true,false,american,mayo,false,true,6.0
37,pretzel,chicken,false,false,swiss,mayo,false,false,12.94
38,brioche,chicken,true,true,cheddar,ketchup,false,true,8.07
39,pretzel,chicken,true,false,swiss,mayo,true,true,7.24
40,pretzel,turkey,false,true,american,mayo,true,true,11.48
41,pretzel,turkey,true,false,cheddar,ketchup,true,true,12.31
42,pretzel,turkey,false,false,american,mustard,false,false,12.28
43,pretzel,chicken,true,true,swiss,mustard,false,false,12.59
44,brioche,chicken,false,true,swiss,ketchup,true,false,8.58
45,brioche,chicken,false,false,cheddar,mayo,false,false,11.17
46,pretzel,chicken,true,false,swiss,mustard,false,false,11.09
47,pretzel,chicken,true,false,american,mustard,false,true,10.11
48,pretzel,chicken,false,false,swiss,mustard,true,false,9.93
49,pretzel,chicken,false,true,cheddar,mayo,false,false,12.6
50,brioche,chicken,false,false,american,mayo,false,false,7.49
51,brioche,chicken,false,false,cheddar,mustard,false,true,10.4
52,brioche,turkey,false,true,cheddar,mustard,true,true,7.7
53,pretzel,turkey,false,false,american,mayo,true,true,7.85
54,brioche,chicken,true,false,cheddar,ketchup,false,false,8.61
55,pretzel,chicken,false,false,swiss,ketchup,false,false,10.69
56,pretzel,chicken,false,false,cheddar,mayo,false,false,7.53
57,brioche,turkey,true,true,american,mustard,true,false,9.31
58,brioche,turkey,false,true,swiss,mayo,false,true,9.73
59,brioche,chicken,false,true,swiss,mayo,false,false,6.77
60,pretzel,chicken,true,false,cheddar,mayo,false,true,9.94
61,pretzel,chicken,true,false,american,mustard,true,false,10.69
62,pretzel,turkey,true,false,swiss,mayo,false,true,6.12
63,pretzel,chicken,true,false,american,mayo,false,true,9.79
64,brioche,chicken,true,false,cheddar,mayo,false,false,9.2
65,pretzel,chicken,true,false,cheddar,ketchup,false,false,10.72
66,pretzel,chicken,false,false,cheddar,mustard,false,false,9.11
67,brioche,turkey,false,false,cheddar,ketchup,true,false,12.08
68,brioche,chicken,true,true,swiss,ketchup,false,true,9.94
69,brioche,turkey,true,false,swiss,ketchup,true,true,9.39
70,pretzel,chicken,false,false,cheddar,mayo,true,true,6.06
71,brioche,chicken,true,true,american,mustard,true,true,10.86
72,brioche,turkey,false,true,swiss,ketchup,true,true,7.55
73,pretzel,turkey,false,true,cheddar,mayo,false,false,7.12
74,pretzel,chicken,true,false,cheddar,ketchup,false,true,10.71
75,brioche,turkey,false,true,cheddar,mayo,false,false,9.34
76,pretzel,turkey,true,false,cheddar,mustard,true,false,8.34
77,pretzel,turkey,true,false,swiss,mustard,false,true,12.34
78,pretzel,chicken,true,true,american,ketchup,true,true,11.65
79,pretzel,turkey,false,true,american,mustard,false,true,7.81
80,brioche,chicken,false,false,american,ketchup,true,true,9.21
81,pretzel,chicken,true,true,american,ketchup,false,true,7.54
82,pretzel,turkey,true,false,cheddar,mustard,false,false,6.06
83,pretzel,chicken,false,true,cheddar,mayo,true,false,8.11
84,brioche,turkey,true,true,cheddar,mustard,false,false,7.44
85,pretzel,turkey,true,false,cheddar,ketchup,true,true,8.4
86,pretzel,turkey,true,true,swiss,ketchup,false,false,10.61
87,brioche,chicken,false,true,swiss,mayo,true,false,6.17
88,brioche,turkey,false,true,swiss,mayo,false,true,12.66
89,pretzel,turkey,true,false,american,mustard,false,false,9.49
90,brioche,chicken,false,true,american,ketchup,false,false,6.74
91,pretzel,chicken,true,true,american,mustard,true,false,6.94
92,pretzel,turkey,false,true,swiss,mayo,false,false,11.58
93,brioche,chicken,true,true,american,ketchup,false,true,8.98
94,pretzel,chicken,true,true,cheddar,ketchup,true,true,9.86
95,brioche,turkey,false,true,swiss,mustard,true,true,8.0
96,pretzel,turkey,true,true,cheddar,mustard,false,false,9.44
97,pretzel,turkey,true,true,swiss,ketchup,true,false,8.04
98,brioche,chicken,true,true,cheddar,ketchup,true,false,10.25
99,pretzel,turkey,true,false,swiss,ketchup,false,false,11.28
100,pretzel,turkey,true,true,american,mayo,false,true,6.78
101,brioche,chicken,true,false,american,mayo,true,false,12.73
102,pretzel,turkey,true,true,american,ketchup,false,true,11.85
103,pretzel,turkey,false,false,swiss,mustard,false,false,6.87
104,pretzel,turkey,true,true,cheddar,mayo,false,false,5.99
105,brioche,turkey,true,true,cheddar,mustard,true,true,7.24
106,pretzel,turkey,true,false,american,ketchup,true,true,10.64
107,pretzel,chicken,true,true,cheddar,mayo,false,true,12.67
108,pretzel,turkey,false,true,swiss,ketchup,false,false,10.43
109,pretzel,turkey,true,true,swiss,mustard,true,true,7.61
110,pretzel,chicken,false,true,swiss,mustard,false,false,11.65
111,brioche,turkey,false,false,cheddar,mayo,false,false,12.24
112,pretzel,turkey,false,true,cheddar,mustard,false,false,6.96
113,brioche,chicken,false,false,swiss,ketchup,true,false,12.38
114,brioche,turkey,false,false,american,ketchup,false,true,11.83
115,brioche,chicken,false,true,swiss,mustard,false,false,11.09
116,pretzel,turkey,true,true,swiss,ketchup,true,false,10.44
117,pretzel,chicken,false,true,cheddar,mayo,false,false,11.49
118,pretzel,chicken,true,false,american,mayo,true,false,12.59
119,brioche,chicken,true,true,cheddar,mayo,false,false,9.85
120,pretzel,chicken,true,false,swiss,mustard,true,false,9.22
121,pretzel,chicken,true,true,american,mayo,true,false,9.01
122,brioche,chicken,false,true,swiss,ketchup,false,true,12.55
123,brioche,chicken,true,false,cheddar,ketchup,true,true,8.44
124,brioche,chicken,false,true,american,ketchup,true,true,9.53
125,brioche,turkey,false,false,swiss,mayo,false,false,9.86
126,brioche,turkey,true,true,american,ketchup,false,true,11.09
127,brioche,chicken,false,false,cheddar,mustard,true,false,8.56
128,pretzel,chicken,false,false,cheddar,mustard,true,true,11.49
129,pretzel,chicken,true,true,cheddar,mustard,false,true,6.14
130,brioche,chicken,false,false,american,mayo,false,false,9.15
131,brioche,turkey,true,false,cheddar,mustard,false,true,6.24
132,pretzel,turkey,true,false,swiss,ketchup,false,false,7.97
133,brioche,chicken,true,false,american,ketchup,true,false,7.94
134,pretzel,turkey,true,false,cheddar,mayo,false,false,12.58
135,brioche,turkey,true,true,swiss,mustard,false,false,11.71
136,brioche,chicken,true,false,swiss,mayo,true,true,6.05
137,brioche,chicken,false,true,swiss,ketchup,true,false,9.73
138,pretzel,chicken,true,true,swiss,mayo,true,true,7.35
139,brioche,chicken,false,false,american,mustard,true,true,10.19
140,pretzel,turkey,true,false,cheddar,mustard,false,false,10.25
141,brioche,turkey,false,true,cheddar,ketchup,true,true,8.72
142,pretzel,chicken,true,false,cheddar,ketchup,false,true,7.46
143,pretzel,turkey,true,false,swiss,mustard,true,false,11.3
144,pretzel,chicken,true,true,swiss,ketchup,false,false,8.76
145,pretzel,turkey,true,false,swiss,ketchup,true,true,10.82
146,brioche,turkey,true,true,cheddar,mayo,false,false,10.83
147,pretzel,turkey,true,true,cheddar,mayo,false,true,8.5
148,brioche,chicken,true,false,cheddar,mustard,false,true,11.22
149,pretzel,chicken,true,true,american,mustard,true,true,8.5
150,pretzel,turkey,true,false,swiss,mustard,true,true,8.2
151,brioche,chicken,false,true,swiss,ketchup,true,false,8.96
152,pretzel,turkey,true,false,cheddar,mayo,true,false,12.57
153,pretzel,turkey,true,false,american,mayo,true,false,8.52
154,pretzel,chicken,true,true,american,ketchup,true,true,12.91
155,brioche,turkey,true,false,swiss,mustard,false,true,6.69
156,pretzel,chicken,false,false,cheddar,ketchup,true,false,6.17
157,pretzel,chicken,true,true,cheddar,ketchup,true,false,12.68
158,brioche,turkey,true,true,american,mayo,false,true,7.08
159,pretzel,chicken,true,false,cheddar,mustard,false,true,6.21
160,brioche,turkey,false,true,swiss,mayo,true,true,9.65
161,brioche,turkey,false,true,cheddar,ketchup,true,true,7.94
162,brioche,chicken,false,true,american,mayo,true,true,11.5
163,pretzel,turkey,false,false,cheddar,mustard,true,false,9.79
164,pretzel,turkey,true,false,cheddar,mayo,false,false,8.86
165,brioche,chicken,false,true,swiss,ketchup,false,false,11.79
166,brioche,chicken,false,true,cheddar,mayo,true,false,6.57
167,brioche,chicken,false,true,swiss,ketchup,false,true,6.48
168,pretzel,chicken,false,true,cheddar,mayo,true,true,7.55
169,pretzel,chicken,false,true,swiss,mustard,false,false,8.13
170,brioche,chicken,true,true,american,mayo,false,false,10.67
171,brioche,turkey,true,true,swiss,mustard,false,false,11.73
172,brioche,turkey,false,false,american,mayo,true,true,6.58
173,pretzel,turkey,true,true,cheddar,mayo,true,false,9.7
174,brioche,turkey,false,false,cheddar,mustard,true,false,10.9
175,pretzel,chicken,false,true,american,ketchup,true,true,5.99
176,brioche,chicken,true,false,swiss,mayo,false,false,8.06
177,pretzel,turkey,true,true,swiss,mayo,false,true,8.95
178,brioche,chicken,false,true,cheddar,ketchup,true,true,6.2
179,brioche,chicken,true,false,american,mustard,false,false,10.98
180,brioche,chicken,false,false,cheddar,mustard,true,true,11.16
181,pretzel,chicken,false,false,american,ketchup,false,false,12.08
182,pretzel,chicken,false,false,swiss,mayo,true,true,9.11
183,brioche,turkey,false,true,american,ketchup,false,true,6.85
184,pretzel,turkey,false,true,cheddar,mayo,false,true,7.44
185,pretzel,turkey,true,false,american,ketchup,false,true,9.04
186,brioche,chicken,true,true,swiss,mayo,false,false,8.32
187,brioche,chicken,false,false,swiss,ketchup,false,false,10.09
188,brioche,chicken,false,false,cheddar,mustard,true,true,10.24
189,brioche,chicken,true,false,cheddar,mustard,false,false,7.59
190,brioche,turkey,false,true,american,ketchup,true,false,9.45
191,brioche,turkey,false,true,cheddar,mayo,true,true,9.99
192,pretzel,chicken,false,false,cheddar,mayo,false,true,8.34
193,pretzel,chicken,true,true,american,mayo,true,false,10.17
194,brioche,turkey,true,false,american,mustard,false,false,8.54
195,pretzel,turkey,true,false,cheddar,ketchup,false,true,12.43
196,pretzel,chicken,true,true,cheddar,mayo,true,false,8.31
197,brioche,chicken,false,false,american,ketchup,true,true,11.77
198,pretzel,chicken,true,true,american,mustard,false,false,11.8
199,pretzel,turkey,false,true,american,mayo,true,false,6.13
200,brioche,turkey,false,false,american,mayo,true,false,7.84
201,brioche,turkey,true,true,cheddar,mayo,true,false,8.96
202,brioche,chicken,false,true,swiss,mayo,true,false,6.64
203,brioche,chicken,true,true,american,ketchup,false,true,6.21
204,pretzel,chicken,false,false,swiss,ketchup,false,false,6.71
205,pretzel,chicken,true,true,swiss,mayo,false,true,9.51
206,brioche,chicken,false,true,american,mayo,true,true,8.62
207,pretzel,turkey,false,false,cheddar,ketchup,true,false,7.93
208,brioche,chicken,true,false,american,ketchup,false,false,7.53
209,brioche,chicken,false,true,cheddar,ketchup,false,true,11.51
210,pretzel,turkey,true,false,swiss,mayo,false,false,12.7
211,pretzel,turkey,false,true,cheddar,mustard,true,true,9.94
212,brioche,turkey,true,false,cheddar,mayo,false,true,12.12
213,brioche,chicken,true,true,swiss,mustard,true,true,12.27
214,brioche,turkey,false,true,american,ketchup,true,true,9.57
215,pretzel,chicken,true,false,american,mayo,true,true,12.32
216,pretzel,chicken,false,true,swiss,mayo,false,true,12.03
217,brioche,chicken,true,true,american,ketchup,true,false,7.9
218,brioche,turkey,true,false,american,mayo,true,false,6.36
219,pretzel,chicken,false,true,american,mustard,false,false,9.09
220,pretzel,turkey,true,false,swiss,ketchup,false,true,12.34
221,brioche,chicken,true,true,swiss,mustard,false,true,10.85
222,brioche,chicken,false,true,american,mustard,false,false,11.88
223,brioche,turkey,true,false,swiss,mustard,false,false,11.47
224,pretzel,turkey,true,true,american,mayo,true,false,10.19
225,pretzel,turkey,false,false,swiss,ketchup,false,true,10.49
226,brioche,turkey,true,true,swiss,ketchup,false,false,8.37
227,pretzel,turkey,false,false,cheddar,ketchup,false,true,12.69
228,pretzel,chicken,false,false,american,mayo,false,false,7.04
229,pretzel,turkey,true,false,cheddar,mustard,true,true,11.81
230,pretzel,turkey,true,true,cheddar,mustard,true,false,11.04
231,brioche,turkey,true,true,cheddar,mustard,false,false,8.91
232,pretzel,chicken,false,true,swiss,mustard,false,false,11.84
233,brioche,chicken,true,true,swiss,mustard,true,true,11.02
234,brioche,turkey,true,true,cheddar,mustard,true,false,6.84
235,pretzel,chicken,false,true,american,mayo,true,true,10.74
236,brioche,chicken,false,true,american,ketchup,false,true,12.86
237,brioche,turkey,false,false,swiss,mayo,false,false,11.36
238,pretzel,turkey,true,false,american,ketchup,false,true,11.9
239,pretzel,chicken,false,true,american,mayo,true,true,12.84
240,pretzel,chicken,true,true,cheddar,mustard,true,true,10.36
241,pretzel,turkey,true,true,swiss,ketchup,false,true,7.92
242,pretzel,turkey,true,false,swiss,mayo,false,false,8.07
243,pretzel,turkey,true,true,cheddar,mayo,false,true,6.48
244,brioche,turkey,false,true,american,mustard,false,true,10.07
245,pretzel,turkey,false,true,american,mayo,true,false,8.99
246,brioche,chicken,true,true,american,ketchup,true,true,12.32
247,brioche,turkey,false,false,american,mustard,false,true,6.15
248,pretzel,chicken,false,true,swiss,mustard,false,true,6.46
249,pretzel,chicken,false,false,swiss,ketchup,true,false,11.09
250,brioche,chicken,true,true,cheddar,mayo,false,true,10.37
251,pretzel,chicken,true,false,swiss,ketchup,false,true,10.3
252,brioche,turkey,true,true,american,ketchup,true,true,8.36
253,pretzel,turkey,false,true,swiss,mustard,true,true,7.95
254,pretzel,turkey,false,true,american,mustard,true,true,8.05
255,brioche,chicken,true,true,swiss,ketchup,false,false,12.39
256,pretzel,chicken,true,false,american,ketchup,true,false,8.79
257,pretzel,chicken,true,false,cheddar,mayo,true,true,7.77
258,brioche,turkey,true,false,swiss,ketchup,false,true,10.42
259,brioche,turkey,true,false,cheddar,ketchup,true,false,12.41
260,brioche,chicken,false,false,american,mayo,true,true,11.82
261,pretzel,chicken,true,true,swiss,mayo,true,false,10.02
262,pretzel,chicken,false,true,american,mayo,false,false,7.75
263,pretzel,chicken,true,true,american,ketchup,true,false,6.82
264,pretzel,chicken,false,true,american,mayo,true,true,8.87
265,pretzel,chicken,false,true,swiss,ketchup,true,true,9.59
266,pretzel,turkey,false,true,american,ketchup,true,false,10.72
267,pretzel,turkey,true,true,american,mayo,false,true,6.89
268,brioche,chicken,false,false,swiss,mayo,true,true,10.25
269,brioche,chicken,false,false,american,ketchup,true,true,10.79
270,pretzel,turkey,true,false,cheddar,ketchup,false,false,9.46
271,brioche,turkey,true,false,cheddar,mayo,false,true,12.16
272,pretzel,chicken,false,false,american,mustard,true,true,8.48
273,brioche,turkey,false,true,swiss,mayo,true,true,12.95
274,pretzel,chicken,false,false,swiss,ketchup,false,false,11.58
275,pretzel,chicken,true,false,cheddar,mayo,true,false,10.31
276,brioche,chicken,true,true,cheddar,mayo,true,true,12.27
277,brioche,turkey,false,true,cheddar,mustard,false,false,12.75
278,pretzel,chicken,false,true,american,ketchup,true,true,7.65
279,pretzel,chicken,false,false,cheddar,mustard,false,true,12.51
280,pretzel,turkey,true,true,swiss,mustard,true,false,7.93
281,pretzel,turkey,true,false,american,mayo,true,true,9.23
282,pretzel,turkey,false,false,american,mustard,false,true,6.11
283,brioche,turkey,true,true,cheddar,ketchup,false,true,11.73
284,pretzel,turkey,true,true,swiss,ketchup,true,false,8.76
285,pretzel,turkey,true,true,cheddar,mustard,false,false,10.17
286,pretzel,chicken,true,false,cheddar,ketchup,false,true,7.74
287,pretzel,turkey,false,false,cheddar,ketchup,true,false,11.53
288,pretzel,chicken,false,true,american,mustard,true,false,8.86
289,brioche,turkey,true,false,cheddar,ketchup,true,false,10.09
290,pretzel,turkey,true,true,american,mayo,false,false,11.54
291,pretzel,turkey,true,false,cheddar,mayo,false,true,8.97
292,brioche,turkey,true,true,swiss,mayo,true,true,6.3
293,brioche,turkey,false,true,american,mayo,true,true,12.02
294,brioche,chicken,false,false,cheddar,mayo,true,true,7.27
295,brioche,turkey,false,false,cheddar,mayo,true,true,10.46
296,brioche,chicken,false,true,swiss,ketchup,true,false,6.98
297,brioche,turkey,false,false,american,mustard,false,false,10.72
298,pretzel,turkey,false,false,cheddar,ketchup,true,false,12.52
299,brioche,chicken,true,true,cheddar,ketchup,false,false,7.31
300,pretzel,turkey,false,false,cheddar,mustard,true,false,8.18
301,brioche,turkey,true,true,cheddar,ketchup,true,true,10.83
302,brioche,chicken,true,false,swiss,ketchup,true,true,11.57
303,pretzel,turkey,false,false,swiss,ketchup,true,true,12.07
304,pretzel,turkey,false,false,swiss,mayo,true,false,11.43
305,brioche,turkey,true,true,swiss,mustard,true,false,7.75
306,pretzel,chicken,true,true,american,mustard,false,true,11.89
307,brioche,turkey,true,true,swiss,ketchup,false,true,8.81
308,pretzel,turkey,false,true,cheddar,mustard,false,true,10.66
309,pretzel,chicken,true,true,american,ketchup,true,true,8.98
310,pretzel,turkey,false,true,swiss,mustard,false,false,10.57
311,pretzel,turkey,false,false,swiss,ketchup,true,false,10.42
312,pretzel,turkey,true,true,american,mustard,false,false,11.18
313,brioche,chicken,true,true,american,mayo,true,false,9.18
314,pretzel,turkey,true,false,cheddar,mayo,true,false,9.74
315,pretzel,turkey,true,false,cheddar,ketchup,false,true,11.53
316,brioche,chicken,false,false,swiss,ketchup,true,false,12.51
317,brioche,chicken,true,true,swiss,ketchup,false,true,7.15
318,brioche,chicken,true,false,american,mustard,true,false,6.47
319,pretzel,turkey,false,true,cheddar,ketchup,true,false,6.13
320,pretzel,turkey,false,true,swiss,mustard,false,true,9.44
321,pretzel,chicken,true,true,swiss,mayo,true,true,8.61
322,pretzel,turkey,true,true,cheddar,mayo,true,false,6.93
323,brioche,turkey,true,true,cheddar,mayo,true,false,12.93
324,brioche,turkey,false,true,american,mayo,false,false,11.29
325,pretzel,turkey,true,true,swiss,mayo,false,false,11.97
