VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1DPXC,Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,22,188634442,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1C4RJXN64R,Thurston,Olympia,WA,98502,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,270975064,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5UXKT0C51G,Thurston,Olympia,WA,98512,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,326783089,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012610
5YJ3E1EA6P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,228842246,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
KNDRMDLH7P,Thurston,Olympia,WA,98501,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,236654722,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1N4AZ0CPXD,Thurston,Olympia,WA,98501,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,5617937,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1G1FW6S0XH,Thurston,Olympia,WA,98506,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,259201309,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012223
KNDC3DLC9P,Thurston,Lacey,WA,98503,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,240395025,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
YV4H60CM5N,Thurston,Tumwater,WA,98512,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,199115983,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
5YJ3E1EA2J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,349687754,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
