sandwich_id,bun_type,meat_type,veggies,condiments,calories,price,preparation_time,expiration_date
1,brioche,roast beef,pickles,mayonnaise,760,9.42,9,9/25/2023
2,brioche,roast beef,onion,ketchup,760,12.59,16,7/20/2023
3,brioche,ham,onion,mustard,512,12.86,11,4/24/2023
4,white,turkey,lettuce,ketchup,539,8.93,7,6/23/2023
5,whole wheat,ham,tomato,mayonnaise,725,8.01,19,3/20/2023
6,brioche,roast beef,onion,mayonnaise,505,8.98,18,4/1/2023
7,whole wheat,roast beef,tomato,mayonnaise,759,11.31,9,12/3/2023
8,white,ham,tomato,mustard,562,7.2,7,3/27/2023
9,whole wheat,ham,pickles,mustard,107,11.48,15,3/9/2023
10,brioche,turkey,lettuce,ketchup,530,11.71,10,10/23/2023
11,white,ham,onion,mustard,370,6.26,5,1/17/2023
12,white,turkey,pickles,mustard,692,7.4,6,9/13/2023
13,white,roast beef,tomato,mustard,290,12.61,8,1/14/2023
14,brioche,turkey,tomato,mayonnaise,543,12.08,5,6/5/2023
15,brioche,roast beef,pickles,mayonnaise,309,12.77,7,10/21/2023
16,whole wheat,roast beef,pickles,ketchup,721,9.2,6,1/1/2023
17,brioche,ham,onion,ketchup,641,10.09,7,7/22/2023
18,brioche,ham,onion,ketchup,222,8.45,18,4/27/2023
19,whole wheat,roast beef,tomato,mustard,429,9.04,7,10/28/2023
20,brioche,ham,lettuce,mustard,163,12.24,14,3/31/2023
21,whole wheat,turkey,onion,mustard,666,11.33,17,12/30/2023
22,whole wheat,ham,tomato,ketchup,796,6.96,5,2/25/2023
23,white,turkey,onion,mustard,142,11.98,5,7/16/2023
24,brioche,turkey,pickles,mayonnaise,762,10.78,10,6/6/2023
25,white,ham,lettuce,mustard,369,8.37,6,5/20/2023
26,white,turkey,lettuce,mustard,441,6.17,7,5/12/2023
27,brioche,turkey,onion,mayonnaise,533,8.29,14,8/2/2023
28,whole wheat,ham,tomato,mayonnaise,764,10.66,8,8/26/2023
29,whole wheat,turkey,pickles,mayonnaise,494,11.19,14,6/11/2023
30,whole wheat,roast beef,tomato,ketchup,622,10.41,6,6/24/2023
31,brioche,roast beef,lettuce,mayonnaise,776,6.01,13,2/16/2023
32,white,turkey,tomato,mayonnaise,343,12.48,15,10/18/2023
33,brioche,turkey,onion,mustard,394,9.73,12,5/30/2023
34,whole wheat,turkey,tomato,ketchup,120,12.11,19,10/3/2023
35,whole wheat,roast beef,tomato,mayonnaise,127,12.74,18,4/17/2023
36,brioche,ham,tomato,mayonnaise,405,11.65,10,11/7/2023
37,brioche,ham,lettuce,ketchup,234,11.21,14,4/4/2023
38,brioche,turkey,pickles,mustard,671,6.73,9,9/1/2023
39,whole wheat,ham,pickles,mayonnaise,463,9.8,20,1/18/2023
40,whole wheat,ham,onion,ketchup,540,11.91,20,1/31/2023
41,whole wheat,turkey,tomato,ketchup,122,6.39,20,2/27/2023
42,whole wheat,ham,tomato,mustard,147,7.53,7,5/13/2023
43,whole wheat,turkey,pickles,mustard,465,6.23,6,1/29/2023
44,white,roast beef,onion,ketchup,372,7.44,11,12/29/2023
45,white,roast beef,tomato,mustard,486,8.51,11,6/6/2023
46,white,turkey,pickles,mayonnaise,384,6.96,7,8/30/2023
