order_id,sandwich_type,bread_type,cheese_type,toppings,sauce,side_order,drink,order_date
1,Turkey,White,Provolone,Lettuce,Ranch,Fruit,Iced Tea,9/4/2022
2,Turkey,White,Provolone,Pickles,Mustard,Chips,Iced Tea,5/22/2022
3,Turkey,Wheat,Cheddar,Pickles,Mayo,Fruit,Soda,8/23/2022
4,Veggie,Wheat,Cheddar,Pickles,Mayo,Salad,Soda,6/12/2022
5,Veggie,Rye,Swiss,Lettuce,Ranch,Fruit,Soda,3/12/2022
6,Turkey,White,Provolone,Onion,Mustard,Salad,Soda,3/6/2022
7,Veggie,White,Swiss,Onion,Mayo,Salad,Iced Tea,2/27/2022
8,Turkey,White,Provolone,Lettuce,Mayo,Salad,Soda,3/25/2022
9,Ham,Wheat,Swiss,Tomato,Ranch,Salad,Water,3/10/2022
10,Veggie,Rye,Provolone,Lettuce,Ranch,Chips,Water,12/15/2022
11,Ham,Wheat,Cheddar,Pickles,Mustard,Fruit,Iced Tea,1/21/2022
12,Ham,Wheat,Swiss,Tomato,Mustard,Fruit,Iced Tea,12/11/2022
13,Veggie,White,Cheddar,Onion,Mayo,Fruit,Water,4/1/2022
14,Veggie,Wheat,Cheddar,Pickles,Mayo,Chips,Iced Tea,10/1/2022
15,Turkey,Wheat,Cheddar,Onion,Ranch,Salad,Water,12/12/2022
16,Ham,Rye,Cheddar,Lettuce,Ranch,Salad,Iced Tea,5/26/2022
17,Ham,White,Swiss,Pickles,Mayo,Salad,Soda,8/18/2022
18,Turkey,White,Cheddar,Tomato,Mayo,Salad,Soda,9/17/2022
19,Turkey,White,Swiss,Tomato,Mustard,Salad,Soda,11/22/2022
20,Veggie,Wheat,Swiss,Onion,Mayo,Fruit,Iced Tea,7/14/2022
21,Ham,Rye,Swiss,Tomato,Mayo,Chips,Soda,12/26/2022
22,Turkey,Rye,Cheddar,Pickles,Ranch,Chips,Water,3/31/2022
23,Ham,White,Provolone,Tomato,Ranch,Salad,Water,3/9/2022
24,Ham,Rye,Provolone,Tomato,Mustard,Chips,Soda,9/17/2022
25,Turkey,White,Swiss,Tomato,Mustard,Salad,Soda,12/23/2022
26,Veggie,Rye,Provolone,Pickles,Mayo,Fruit,Water,10/6/2022
27,Ham,Rye,Provolone,Tomato,Mustard,Salad,Iced Tea,1/29/2022
28,Ham,White,Cheddar,Pickles,Mayo,Fruit,Iced Tea,3/28/2022
29,Veggie,White,Swiss,Onion,Mayo,Fruit,Soda,8/5/2022
30,Veggie,Rye,Provolone,Lettuce,Mayo,Chips,Soda,2/26/2022
31,Turkey,Rye,Swiss,Pickles,Mayo,Salad,Iced Tea,10/10/2022
32,Veggie,White,Cheddar,Lettuce,Mayo,Salad,Iced Tea,12/28/2022
33,Veggie,Wheat,Swiss,Onion,Mustard,Chips,Iced Tea,3/25/2022
34,Ham,White,Provolone,Onion,Mustard,Fruit,Water,5/2/2022
35,Turkey,Wheat,Swiss,Lettuce,Ranch,Salad,Iced Tea,10/7/2022
36,Veggie,White,Cheddar,Pickles,Mayo,Salad,Water,2/4/2022
37,Ham,White,Cheddar,Pickles,Mustard,Fruit,Soda,8/22/2022
38,Turkey,Rye,Cheddar,Tomato,Mayo,Chips,Iced Tea,4/5/2022
39,Turkey,White,Swiss,Lettuce,Mayo,Chips,Water,5/27/2022
40,Veggie,Rye,Cheddar,Pickles,Mustard,Chips,Iced Tea,5/23/2022
41,Turkey,White,Cheddar,Onion,Mustard,Fruit,Soda,11/23/2022
42,Turkey,Wheat,Cheddar,Lettuce,Ranch,Chips,Soda,1/10/2022
43,Turkey,Wheat,Swiss,Lettuce,Ranch,Chips,Soda,10/20/2022
44,Veggie,Wheat,Cheddar,Lettuce,Ranch,Salad,Water,5/7/2022
45,Turkey,Wheat,Cheddar,Onion,Ranch,Salad,Soda,6/8/2022
46,Veggie,White,Cheddar,Tomato,Ranch,Salad,Soda,7/27/2022
47,Turkey,White,Cheddar,Pickles,Mustard,Fruit,Water,12/24/2022
48,Veggie,Wheat,Swiss,Pickles,Ranch,Salad,Soda,10/24/2022
49,Turkey,White,Cheddar,Lettuce,Mayo,Fruit,Iced Tea,9/22/2022
50,Turkey,Rye,Provolone,Lettuce,Ranch,Fruit,Soda,4/21/2022
51,Turkey,Rye,Swiss,Tomato,Mayo,Salad,Iced Tea,1/6/2022
52,Ham,White,Swiss,Lettuce,Mustard,Salad,Water,9/21/2022
53,Veggie,White,Cheddar,Lettuce,Mayo,Fruit,Iced Tea,1/10/2022
54,Ham,Wheat,Provolone,Onion,Mustard,Chips,Water,4/29/2022
55,Turkey,Rye,Swiss,Lettuce,Ranch,Salad,Iced Tea,7/5/2022
56,Turkey,Rye,Provolone,Lettuce,Mayo,Chips,Water,6/23/2022
57,Ham,Rye,Swiss,Pickles,Ranch,Chips,Iced Tea,4/20/2022
58,Turkey,White,Provolone,Pickles,Ranch,Salad,Water,1/29/2022
59,Ham,Rye,Cheddar,Onion,Mustard,Chips,Water,1/22/2022
60,Veggie,White,Cheddar,Tomato,Ranch,Fruit,Water,6/9/2022
61,Veggie,White,Cheddar,Pickles,Ranch,Salad,Iced Tea,10/31/2022
62,Turkey,Rye,Swiss,Pickles,Ranch,Fruit,Iced Tea,6/29/2022
63,Veggie,Wheat,Provolone,Onion,Mayo,Fruit,Soda,2/5/2022
64,Turkey,Wheat,Provolone,Onion,Mayo,Salad,Iced Tea,10/18/2022
65,Veggie,White,Provolone,Tomato,Ranch,Fruit,Iced Tea,10/11/2022
66,Turkey,Rye,Provolone,Tomato,Ranch,Salad,Water,4/27/2022
67,Ham,White,Provolone,Onion,Mustard,Fruit,Water,4/28/2022
68,Turkey,Rye,Provolone,Tomato,Ranch,Salad,Soda,10/13/2022
69,Veggie,Wheat,Swiss,Onion,Mustard,Salad,Water,5/21/2022
70,Turkey,Wheat,Cheddar,Tomato,Mayo,Salad,Iced Tea,12/22/2022
71,Ham,White,Swiss,Lettuce,Ranch,Fruit,Soda,10/4/2022
72,Turkey,White,Swiss,Onion,Ranch,Fruit,Soda,6/23/2022
73,Veggie,White,Cheddar,Tomato,Mayo,Salad,Water,11/19/2022
74,Ham,Rye,Swiss,Onion,Ranch,Chips,Iced Tea,7/15/2022
75,Veggie,Rye,Cheddar,Lettuce,Mayo,Chips,Iced Tea,2/2/2022
76,Ham,Rye,Cheddar,Tomato,Mustard,Fruit,Water,12/30/2022
77,Ham,Wheat,Provolone,Onion,Ranch,Chips,Soda,3/27/2022
78,Turkey,Rye,Provolone,Pickles,Mayo,Fruit,Iced Tea,7/21/2022
79,Ham,White,Swiss,Tomato,Mustard,Salad,Water,10/31/2022
80,Veggie,White,Cheddar,Onion,Ranch,Salad,Iced Tea,11/8/2022
81,Ham,Rye,Provolone,Pickles,Mustard,Salad,Soda,11/25/2022
82,Ham,Wheat,Cheddar,Tomato,Mustard,Fruit,Iced Tea,1/2/2022
83,Turkey,White,Provolone,Pickles,Ranch,Chips,Soda,12/22/2022
84,Ham,White,Cheddar,Pickles,Mustard,Salad,Iced Tea,6/4/2022
85,Ham,Wheat,Cheddar,Tomato,Mustard,Chips,Soda,1/5/2022
86,Veggie,Wheat,Swiss,Lettuce,Ranch,Salad,Water,11/23/2022
87,Ham,Wheat,Cheddar,Pickles,Mayo,Fruit,Water,3/8/2022
88,Veggie,White,Swiss,Onion,Ranch,Salad,Soda,5/10/2022
89,Turkey,Rye,Cheddar,Lettuce,Mustard,Fruit,Iced Tea,9/21/2022
90,Ham,Wheat,Swiss,Pickles,Mustard,Chips,Soda,9/8/2022
91,Ham,Wheat,Swiss,Tomato,Ranch,Salad,Soda,8/18/2022
92,Veggie,White,Cheddar,Onion,Mayo,Chips,Soda,1/11/2022
93,Turkey,White,Cheddar,Onion,Ranch,Chips,Soda,1/2/2022
94,Veggie,White,Swiss,Tomato,Mayo,Chips,Water,5/25/2022
95,Ham,White,Provolone,Onion,Mustard,Chips,Water,2/12/2022
96,Ham,White,Swiss,Lettuce,Mayo,Fruit,Soda,8/8/2022
97,Ham,White,Swiss,Tomato,Ranch,Salad,Water,2/14/2022
98,Veggie,White,Swiss,Pickles,Ranch,Chips,Soda,3/19/2022
99,Turkey,Rye,Provolone,Lettuce,Mustard,Salad,Water,9/19/2022
100,Ham,Wheat,Provolone,Pickles,Mayo,Chips,Soda,4/30/2022
101,Veggie,Wheat,Swiss,Pickles,Mustard,Salad,Water,5/21/2022
102,Veggie,White,Provolone,Tomato,Mayo,Fruit,Iced Tea,7/10/2022
103,Ham,White,Cheddar,Onion,Mayo,Salad,Soda,2/11/2022
104,Ham,Rye,Provolone,Lettuce,Mayo,Chips,Iced Tea,7/13/2022
105,Ham,Wheat,Provolone,Onion,Mayo,Salad,Soda,10/26/2022
106,Turkey,White,Cheddar,Tomato,Mayo,Fruit,Iced Tea,8/27/2022
107,Veggie,White,Provolone,Tomato,Mustard,Chips,Iced Tea,3/15/2022
108,Veggie,Wheat,Cheddar,Onion,Mustard,Salad,Water,7/16/2022
109,Ham,Wheat,Swiss,Tomato,Mayo,Fruit,Iced Tea,2/22/2022
110,Veggie,Rye,Cheddar,Lettuce,Mayo,Salad,Iced Tea,10/2/2022
111,Ham,Rye,Swiss,Lettuce,Mayo,Salad,Soda,12/28/2022
112,Ham,Wheat,Provolone,Onion,Mustard,Salad,Iced Tea,9/11/2022
