speedrun_time,speedrunner_username,date_time_set
39121228,gmeaden0,8/30/2023
40212436,gsnel1,12/11/2024
29828598,jlambshine2,2/9/2021
37807464,rmcdermot3,8/3/2023
21460936,amacdiarmid4,10/16/2024
34047080,jparamor5,6/30/2024
39464068,pponder6,12/5/2020
38546110,babbati7,9/3/2024
33805277,jthackray8,8/17/2021
39994190,ahabden9,3/31/2024
24117844,mbilletta,3/12/2021
24648816,xwynchb,5/22/2022
42942025,rdanterc,6/28/2023
31804594,adommersend,5/11/2022
23484326,ewakerleye,5/14/2023
22864942,erycef,12/23/2023
23820542,blockg,5/26/2024
19949319,rboobierh,9/19/2023
33761111,akilleeni,3/2/2024
38362899,jlippoj,6/20/2023
32755174,smuncerk,7/1/2022
36299333,jrivalandl,4/8/2021
21136599,ostorrorm,9/14/2022
31213994,mpincottn,12/27/2023
30147842,nfowgieso,11/1/2020
31156327,lacunap,7/22/2022
41769653,obarringtonq,9/5/2023
35184383,mmissenr,5/16/2022
38087081,wmutimers,1/27/2023
38838486,mmartelett,7/22/2024
42412816,sousbyu,7/23/2024
38408029,wpetrikv,7/25/2022
40061364,jcathrallw,12/11/2020
29758540,fjoselandx,11/30/2021
31187281,dcleughy,7/11/2020
30188788,pkellowayz,4/22/2021
25294958,tcoulson10,4/11/2020
39292425,mbourgaize11,6/22/2020
21857888,djoseland12,10/31/2024
36425628,bsteckings13,10/25/2022
34409268,gparadine14,5/1/2023
22167827,mcrippes15,5/17/2023
20120592,sflaverty16,5/30/2021
31799746,bfortune17,6/5/2022
32370649,gcraythorne18,4/2/2020
39812553,iprior19,4/28/2022
35367088,thurich1a,2/17/2024
24568679,mravenscroft1b,11/10/2021
31403230,chimsworth1c,8/28/2021
31696267,zrolin1d,1/13/2021
32281302,smotten1e,4/1/2024
36998922,gmcinteer1f,3/17/2020
39865823,mdunbobbin1g,2/5/2023
26460170,kcausnett1h,1/8/2021
35839599,nwinkless1i,11/24/2022
34016675,ebenediktsson1j,8/17/2022
18610064,ysaffin1k,10/7/2023
27664048,lcoot1l,1/7/2023
30293221,chearthfield1m,11/14/2022
36409877,sdict1n,12/28/2022
29852087,delrick1o,11/18/2023
37895323,smehmet1p,10/5/2022
24617724,kdensey1q,10/3/2023
21275386,laxelbey1r,1/25/2024
29885890,hhagart1s,12/7/2021
25419914,tskippings1t,5/30/2022
38331138,harmatidge1u,3/28/2023
20489851,singleton1v,10/31/2023
36810410,eliston1w,11/28/2023
42908905,smatthius1x,4/14/2021
20470234,ctrusdale1y,7/24/2023
37534726,cmockett1z,5/6/2024
34366699,aarpur20,6/1/2022
25981734,dhalsworth21,11/30/2023
21149507,sjobke22,10/21/2024
31155829,dmowsdale23,4/22/2023
40178973,ttaillard24,2/3/2020
27116334,bharraway25,12/18/2024
38410853,jblonfield26,1/26/2021
42080323,gharcombe27,8/26/2021
27801149,rheinl28,7/24/2021
29455833,rdorro29,4/23/2020
40040499,eabreheart2a,4/1/2024
33566272,vgrainger2b,3/21/2020
35874666,brobey2c,8/26/2021
19467579,ahorrod2d,9/17/2022
42775303,swinyard2e,11/8/2020
41402685,hlockner2f,1/14/2020
19437436,elinde2g,5/17/2021
19191793,rmarusyak2h,7/29/2022
29394704,lfozard2i,2/10/2020
39211952,ewheatman2j,7/3/2022
36343328,bhodgen2k,3/11/2023
42576971,mlowen2l,8/12/2024
26108080,mwooldridge2m,6/17/2021
28103887,lmagovern2n,7/26/2021
28925331,jeastcourt2o,9/14/2022
31574987,kmclleese2p,11/20/2024
20573582,mpestell2q,2/22/2020
38353789,rmeineken2r,7/20/2024
25933568,mallworthy2s,6/16/2023
39629355,gyurygyn2t,1/10/2022
36654499,apiercy2u,6/20/2022
26854439,ischorah2v,12/31/2020
43447157,kvlies2w,10/12/2024
23990705,ilillgard2x,2/19/2022
42075410,nbirtwell2y,3/24/2021
28955656,bert2z,3/2/2021
35967387,astangroom30,9/4/2022
28993341,lridoutt31,10/2/2021
35416134,jpatsall32,10/23/2023
30006163,jbavester33,4/25/2022
36154934,aorae34,5/7/2024
19501787,imonnelly35,10/30/2024
18705821,dhumbles36,1/22/2024
32873068,ssherel37,12/16/2023
21684026,rshalcros38,8/4/2023
22922585,dkeeping39,12/12/2020
37924323,pcrewe3a,2/24/2020
42534544,fbratley3b,8/6/2022
35124815,rgaiford3c,11/3/2021
42155795,jsacaze3d,9/25/2020
37953452,bscraggs3e,3/16/2022
41257252,vmaggi3f,8/12/2020
36676108,lbreslin3g,5/18/2021
19401404,iandrusov3h,11/16/2020
42347560,qgarvey3i,2/14/2024
27004331,amcneil3j,2/21/2023
38170009,truberry3k,2/24/2024
36385451,fjedrzejkiewicz3l,1/8/2023
21037474,ejobes3m,12/13/2021
35182476,ndearle3n,3/1/2021
35903377,jmcgaughey3o,11/2/2020
34671015,gfardy3p,5/6/2020
39848388,gsimonaitis3q,10/11/2020
31661931,sdjordjevic3r,6/27/2020
31103738,fstrange3s,3/20/2021
28357705,awinny3t,4/8/2023
32248282,dhalle3u,3/27/2023
20878792,twainscoat3v,5/19/2020
37546375,twardhough3w,11/1/2022
29004681,gmolineux3x,7/3/2021
20155822,akilbourn3y,11/5/2023
30245865,hpretti3z,7/13/2021
34257809,mdibiasi40,12/14/2024
36976149,gchate41,1/22/2022
28290637,cfruen42,6/9/2022
40275804,aratray43,4/22/2021
20055914,pforryan44,8/15/2023
26735632,mpashenkov45,8/9/2023
18565614,lrome46,12/27/2023
34534072,mgrabbam47,10/23/2020
38140139,orikel48,5/9/2021
35110075,jangear49,8/28/2020
39218244,wtrussman4a,3/2/2020
36742449,jscriver4b,1/17/2024
24854867,ggonzalez4c,1/15/2022
32643187,aiacofo4d,7/29/2021
25107067,mmitchelson4e,11/14/2022
35740773,gbeaston4f,1/4/2022
27798876,bginglell4g,7/21/2023
35980111,ededam4h,10/19/2021
21402178,icuthbertson4i,4/22/2021
27333728,ecarberry4j,4/27/2023
18819625,lfaich4k,6/26/2024
33345316,sbettanay4l,2/28/2023
39798581,wsavine4m,5/30/2024
40769448,gsprigin4n,2/15/2023
31238543,dhenningham4o,7/10/2023
30758541,bdadson4p,9/1/2022
39433413,cattenburrow4q,1/26/2023
28529800,cantuoni4r,6/18/2021
33629699,agent4s,6/8/2020
32212310,bdouble4t,5/27/2022
29299271,bsurridge4u,7/17/2022
38129086,lpaulich4v,8/1/2020
22958935,lduetsche4w,7/5/2021
36049159,hshaddock4x,6/2/2024
26264949,kmelior4y,2/7/2020
42508200,mmcmeekan4z,8/15/2022
39604875,dmadgwich50,9/10/2021
30566082,lpresley51,9/17/2023
24118364,ethurner52,1/15/2023
36870095,vstuckey53,2/27/2021
33384975,fjacombs54,3/28/2022
36537638,smayers55,7/9/2020
20784373,mmckay56,6/15/2020
36649577,sstagge57,11/9/2021
34273807,csimyson58,12/24/2020
33333586,mjedrychowski59,9/29/2024
41026240,olangstrath5a,1/21/2020
32764530,acoverdale5b,8/7/2022
26812639,gwillgoss5c,7/19/2020
28798627,sjendrach5d,11/7/2024
43282757,bbeddoe5e,4/25/2022
34734579,gturney5f,7/28/2023
23131688,scheel5g,6/1/2021
33476314,asparke5h,3/6/2020
39217174,kguierre5i,4/16/2022
22605841,tdurrand5j,2/27/2023
37031106,jlemmertz5k,2/2/2022
26978011,adrees5l,1/24/2024
33909163,rsummerson5m,7/4/2022
37624101,jphilippson5n,4/28/2024
33874108,rcurwood5o,6/10/2024
40991483,ascouler5p,7/3/2024
20320048,rsweett5q,12/27/2022
37191504,lclementucci5r,3/18/2024
36996620,ariatt5s,8/7/2021
31381879,mfrangello5t,6/5/2023
18484325,malcide5u,3/8/2021
33593981,sshorbrook5v,1/8/2021
42167818,mcarp5w,9/5/2024
19433559,jscreech5x,12/5/2021
19811505,rroot5y,6/6/2021
28912170,kmccurt5z,7/9/2020
