id,bun_type,patty_type,toppings
1,wheat,cheese,lettuce

2,wheat,beef,tomato
3,wheat,beef,onion
4,white,cheese,tomato
5,wheat,beef,onion
6,white,beef,onion
7,wheat,cheese,tomato
8,wheat,cheese,tomato
9,white,cheese,lettuce
10,white,cheese,onion
11,white,cheese,tomato
12,wheat,cheese,lettuce
13,wheat,beef,onion
14,white,cheese,tomato
15,white,beef,lettuce
16,white,cheese,onion
17,wheat,cheese,onion
18,wheat,beef,onion
19,white,beef,tomato
20,white,beef,tomato
21,white,beef,tomato
22,wheat,beef,lettuce
23,white,cheese,onion
24,wheat,cheese,lettuce
25,wheat,beef,tomato
26,wheat,cheese,onion
27,white,beef,lettuce
28,white,cheese,onion
29,white,cheese,tomato
30,wheat,beef,lettuce
31,white,cheese,lettuce
32,wheat,cheese,onion
33,white,cheese,onion
34,white,beef,tomato
35,white,cheese,onion
36,wheat,beef,onion
37,wheat,cheese,tomato
38,wheat,cheese,tomato
39,wheat,cheese,tomato
40,wheat,beef,tomato
41,white,cheese,onion
42,wheat,beef,onion
43,white,beef,lettuce
44,white,beef,onion
45,white,cheese,lettuce
46,white,cheese,lettuce
47,white,cheese,lettuce
48,white,beef,onion
49,wheat,cheese,onion
50,white,cheese,lettuce
51,wheat,cheese,tomato
52,white,cheese,lettuce
53,wheat,cheese,lettuce
54,white,beef,onion
55,white,cheese,onion
56,wheat,cheese,tomato
57,white,cheese,lettuce
58,white,cheese,lettuce
59,wheat,beef,lettuce
60,white,cheese,tomato
61,wheat,beef,onion
62,white,cheese,tomato
63,wheat,cheese,lettuce
64,wheat,beef,lettuce
65,wheat,beef,onion
66,white,cheese,tomato
67,white,beef,onion
68,wheat,cheese,tomato
69,wheat,beef,lettuce
70,wheat,beef,lettuce
71,wheat,cheese,lettuce
72,white,beef,lettuce
73,wheat,beef,onion
74,white,beef,lettuce
75,wheat,beef,onion
76,wheat,cheese,lettuce
77,white,beef,lettuce
78,wheat,beef,tomato
79,white,beef,lettuce
80,wheat,cheese,onion
81,wheat,cheese,lettuce
82,white,cheese,tomato
83,wheat,cheese,lettuce
84,wheat,cheese,onion
85,wheat,cheese,lettuce
86,wheat,cheese,lettuce
87,wheat,beef,lettuce
88,wheat,cheese,tomato
89,wheat,beef,lettuce
90,white,beef,lettuce
91,white,cheese,tomato
92,white,cheese,lettuce
93,white,beef,onion
94,white,cheese,lettuce
95,wheat,cheese,tomato
96,white,cheese,tomato
97,wheat,beef,lettuce
98,white,beef,tomato
99,white,beef,tomato
100,wheat,cheese,tomato
101,wheat,cheese,tomato
102,wheat,beef,tomato
103,wheat,beef,tomato
104,white,cheese,lettuce
105,wheat,cheese,lettuce
106,white,beef,lettuce
107,wheat,cheese,onion
108,wheat,cheese,lettuce
109,white,cheese,tomato
110,white,beef,lettuce
111,wheat,beef,tomato
112,wheat,beef,lettuce
113,wheat,cheese,lettuce
114,white,beef,lettuce
115,wheat,beef,onion
116,white,cheese,tomato
117,wheat,cheese,lettuce
118,white,cheese,tomato
119,wheat,beef,onion
120,wheat,beef,onion
121,white,beef,tomato
122,white,beef,lettuce
123,white,cheese,onion
124,wheat,beef,tomato
125,white,cheese,tomato
126,wheat,beef,onion
127,white,cheese,lettuce
128,white,cheese,lettuce
129,white,beef,lettuce
130,wheat,cheese,lettuce
131,white,beef,onion
132,white,cheese,lettuce
133,white,cheese,lettuce
134,wheat,beef,lettuce
135,white,cheese,onion
136,wheat,cheese,tomato
137,white,cheese,onion
138,wheat,beef,tomato
139,wheat,cheese,tomato
140,wheat,beef,tomato
141,white,cheese,lettuce
142,wheat,cheese,lettuce
143,wheat,cheese,lettuce
144,wheat,beef,tomato
145,wheat,beef,lettuce
146,white,cheese,onion
147,wheat,cheese,tomato
148,white,beef,onion
149,white,beef,lettuce
150,wheat,beef,lettuce
151,wheat,beef,onion
152,white,cheese,tomato
153,white,cheese,onion
154,white,beef,tomato
155,wheat,cheese,lettuce
156,white,beef,tomato
157,white,beef,lettuce
158,wheat,cheese,lettuce
159,wheat,beef,onion
160,white,beef,onion
161,wheat,beef,tomato
162,wheat,cheese,onion
163,wheat,beef,onion
164,white,beef,lettuce
165,wheat,cheese,tomato
166,wheat,beef,lettuce
167,white,beef,lettuce
168,white,beef,onion
169,wheat,cheese,lettuce
170,wheat,beef,tomato
171,white,beef,onion
172,wheat,cheese,lettuce
173,white,beef,tomato
174,white,beef,lettuce
175,wheat,cheese,lettuce
176,white,cheese,onion
177,white,cheese,onion
178,white,beef,tomato
179,wheat,beef,tomato
180,white,beef,onion
181,white,beef,lettuce
182,wheat,beef,tomato
183,wheat,beef,lettuce
184,white,cheese,lettuce
185,white,beef,onion
186,wheat,beef,lettuce
187,wheat,cheese,lettuce
188,wheat,cheese,lettuce
189,wheat,cheese,tomato
190,white,cheese,tomato
191,wheat,beef,lettuce
192,wheat,cheese,tomato
193,wheat,cheese,onion
194,white,cheese,tomato
195,wheat,beef,lettuce
196,white,cheese,tomato
197,wheat,cheese,lettuce
198,wheat,beef,lettuce
199,white,cheese,lettuce
200,wheat,cheese,tomato
201,white,beef,onion
202,wheat,beef,lettuce
203,wheat,beef,tomato
204,white,cheese,lettuce
205,white,cheese,tomato
206,white,cheese,lettuce
207,white,beef,onion
208,wheat,beef,onion
209,white,beef,lettuce
210,wheat,beef,lettuce
211,wheat,beef,onion
212,wheat,cheese,lettuce
213,wheat,beef,onion
214,wheat,beef,tomato
215,white,cheese,tomato
216,wheat,beef,lettuce
217,wheat,cheese,lettuce
218,wheat,cheese,tomato
219,wheat,cheese,onion
220,white,beef,onion
221,wheat,cheese,lettuce
222,white,cheese,lettuce
223,wheat,beef,onion
224,wheat,beef,lettuce
225,white,cheese,tomato
226,white,cheese,onion
227,white,cheese,onion
228,wheat,beef,lettuce
229,white,cheese,lettuce
230,white,beef,onion
231,wheat,beef,lettuce
232,white,beef,lettuce
233,white,cheese,tomato
234,white,beef,lettuce
235,wheat,beef,onion
236,wheat,cheese,lettuce
237,wheat,beef,tomato
238,wheat,cheese,onion
239,wheat,cheese,tomato
240,wheat,cheese,lettuce
241,white,cheese,tomato
242,wheat,beef,lettuce
243,wheat,beef,onion
244,white,beef,tomato
245,white,cheese,lettuce
246,wheat,beef,tomato
247,wheat,cheese,onion
248,wheat,cheese,onion
249,wheat,beef,tomato
250,wheat,beef,onion
251,white,cheese,onion
252,white,beef,onion
253,white,beef,lettuce
254,white,cheese,tomato
255,white,beef,onion
256,white,beef,tomato
257,wheat,beef,lettuce
258,white,beef,onion
259,white,cheese,lettuce
260,wheat,beef,onion
261,wheat,cheese,tomato
262,white,beef,onion
263,white,cheese,onion
264,wheat,beef,lettuce
265,wheat,cheese,lettuce
266,white,cheese,onion
267,wheat,beef,lettuce
268,wheat,cheese,lettuce
269,wheat,cheese,lettuce
270,white,cheese,onion
271,wheat,cheese,lettuce
272,wheat,cheese,lettuce
273,white,beef,lettuce
274,white,cheese,tomato
275,white,beef,lettuce
276,wheat,cheese,tomato
277,wheat,beef,onion
278,wheat,beef,tomato
279,white,cheese,tomato
280,wheat,beef,tomato
281,wheat,cheese,lettuce
282,wheat,beef,lettuce
283,white,cheese,onion
284,wheat,beef,tomato
285,white,cheese,tomato
286,white,beef,lettuce
287,wheat,cheese,tomato
288,white,cheese,lettuce
289,white,cheese,lettuce
290,white,beef,tomato
291,white,cheese,onion
292,white,beef,tomato
293,wheat,cheese,tomato
294,wheat,beef,lettuce
295,white,beef,tomato
296,wheat,beef,onion
297,wheat,cheese,lettuce
298,white,cheese,lettuce
299,wheat,beef,onion
300,wheat,beef,onion
301,wheat,cheese,tomato
302,white,beef,tomato
303,white,cheese,tomato
304,white,cheese,tomato
305,wheat,beef,tomato
306,white,beef,tomato
307,white,cheese,tomato
308,white,beef,lettuce
309,white,beef,tomato
310,wheat,cheese,onion
311,wheat,cheese,lettuce
312,white,beef,tomato
313,wheat,beef,lettuce
314,wheat,cheese,onion
315,white,beef,onion
316,white,beef,onion
317,wheat,cheese,tomato
318,wheat,cheese,onion
319,white,beef,tomato
