Item,Year,Month,Index
White Flour,2005,January,0.325
White Flour,2005,Febuary,0.326
White Flour,2005,March,0.326
White Flour,2005,April,0.322
White Flour,2005,May,0.329
White Flour,2005,June,0.337
White Flour,2005,July,0.34
White Flour,2005,August,0.341
White Flour,2005,September,0.329
White Flour,2005,October,0.311
White Flour,2005,November,0.298
White Flour,2005,December,0.303
White Flour,2006,January,0.328
White Flour,2006,Febuary,0.326
White Flour,2006,March,0.326
White Flour,2006,April,0.32
White Flour,2006,May,0.331
White Flour,2006,June,0.336
White Flour,2006,July,0.339
White Flour,2006,August,0.341
White Flour,2006,September,0.341
White Flour,2006,October,0.321
White Flour,2006,November,0.317
White Flour,2006,December,0.318
White Flour,2007,January,0.346
White Flour,2007,Febuary,0.356
White Flour,2007,March,0.357
White Flour,2007,April,0.354
White Flour,2007,May,0.351
White Flour,2007,June,0.35
White Flour,2007,July,0.353
White Flour,2007,August,0.355
White Flour,2007,September,0.36
White Flour,2007,October,0.355
White Flour,2007,November,0.388
White Flour,2007,December,0.398
White Flour,2008,January,0.421
White Flour,2008,Febuary,0.455
White Flour,2008,March,0.489
White Flour,2008,April,0.518
White Flour,2008,May,0.534
White Flour,2008,June,0.529
White Flour,2008,July,0.544
White Flour,2008,August,0.539
White Flour,2008,September,0.532
White Flour,2008,October,0.521
White Flour,2008,November,0.494
White Flour,2008,December,0.504
White Flour,2009,January,0.517
White Flour,2009,Febuary,0.509
White Flour,2009,March,0.503
White Flour,2009,April,0.485
White Flour,2009,May,0.515
White Flour,2009,June,0.516
White Flour,2009,July,0.519
White Flour,2009,August,0.517
White Flour,2009,September,0.51
White Flour,2009,October,0.5
White Flour,2009,November,0.458
White Flour,2009,December,0.464
White Flour,2010,January,0.491
White Flour,2010,Febuary,0.496
White Flour,2010,March,0.479
White Flour,2010,April,0.473
White Flour,2010,May,0.485
White Flour,2010,June,0.484
White Flour,2010,July,0.484
White Flour,2010,August,0.489
White Flour,2010,September,0.483
White Flour,2010,October,0.472
White Flour,2010,November,0.446
White Flour,2010,December,0.441
White Flour,2011,January,0.477
White Flour,2011,Febuary,0.494
White Flour,2011,March,0.508
White Flour,2011,April,0.5
White Flour,2011,May,0.521
White Flour,2011,June,0.528
White Flour,2011,July,0.533
White Flour,2011,August,0.537
White Flour,2011,September,0.55
White Flour,2011,October,0.542
White Flour,2011,November,0.517
White Flour,2011,December,0.51
White Flour,2012,January,0.528
White Flour,2012,Febuary,0.528
White Flour,2012,March,0.519
White Flour,2012,April,0.515
White Flour,2012,May,0.513
White Flour,2012,June,0.519
White Flour,2012,July,0.516
White Flour,2012,August,0.531
White Flour,2012,September,0.528
White Flour,2012,October,0.509
White Flour,2012,November,0.497
White Flour,2012,December,0.5
White Flour,2013,January,0.524
White Flour,2013,Febuary,0.524
White Flour,2013,March,0.499
White Flour,2013,April,0.522
White Flour,2013,May,0.53
White Flour,2013,June,0.533
White Flour,2013,July,0.53
White Flour,2013,August,0.529
White Flour,2013,September,0.522
White Flour,2013,October,0.516
White Flour,2013,November,0.517
White Flour,2013,December,0.513
White Flour,2014,January,0.543
White Flour,2014,Febuary,0.555
White Flour,2014,March,0.551
White Flour,2014,April,0.547
White Flour,2014,May,0.532
White Flour,2014,June,0.532
White Flour,2014,July,0.527
White Flour,2014,August,0.531
White Flour,2014,September,0.513
White Flour,2014,October,0.501
White Flour,2014,November,0.515
White Flour,2014,December,0.511
White Flour,2015,January,0.545
White Flour,2015,Febuary,0.525
White Flour,2015,March,0.518
White Flour,2015,April,0.509
White Flour,2015,May,0.52
White Flour,2015,June,0.519
White Flour,2015,July,0.515
White Flour,2015,August,0.524
White Flour,2015,September,0.517
White Flour,2015,October,0.511
White Flour,2015,November,0.496
White Flour,2015,December,0.501
White Flour,2016,January,0.522
White Flour,2016,Febuary,0.522
White Flour,2016,March,0.512
White Flour,2016,April,0.521
White Flour,2016,May,0.525
White Flour,2016,June,0.529
White Flour,2016,July,0.543
White Flour,2016,August,0.546
White Flour,2016,September,0.547
White Flour,2016,October,0.523
White Flour,2016,November,0.507
White Flour,2016,December,0.503
White Flour,2017,January,0.53
White Flour,2017,Febuary,0.526
White Flour,2017,March,0.531
White Flour,2017,April,0.516
White Flour,2017,May,0.517
White Flour,2017,June,0.507
White Flour,2017,July,0.512
White Flour,2017,August,0.512
White Flour,2017,September,0.505
White Flour,2017,October,0.5
White Flour,2017,November,0.469
White Flour,2017,December,0.462
White Flour,2018,January,0.471
White Flour,2018,Febuary,0.47
White Flour,2018,March,0.468
White Flour,2018,April,0.472
White Flour,2018,May,0.469
White Flour,2018,June,0.469
White Flour,2018,July,0.468
White Flour,2018,August,0.464
White Flour,2018,September,0.467
White Flour,2018,October,0.453
White Flour,2018,November,0.433
White Flour,2018,December,0.437
White Flour,2019,January,0.439
White Flour,2019,Febuary,0.443
White Flour,2019,March,0.445
White Flour,2019,April,0.434
White Flour,2019,May,0.454
White Flour,2019,June,0.448
White Flour,2019,July,0.454
White Flour,2019,August,0.45
White Flour,2019,September,0.449
White Flour,2019,October,0.432
White Flour,2019,November,0.417
White Flour,2019,December,0.429
White Flour,2020,January,0.438
White Flour,2020,Febuary,0.438
White Flour,2020,March,0.442
White Flour,2020,April,None
White Flour,2020,May,0.461
White Flour,2020,June,0.468
White Flour,2020,July,0.461
White Flour,2020,August,0.459
White Flour,2020,September,0.451
White Flour,2020,October,0.452
White Flour,2020,November,0.445
White Flour,2020,December,0.45
White Flour,2021,January,0.446
White Flour,2021,Febuary,0.44
White Flour,2021,March,0.436
White Flour,2021,April,0.437
White Flour,2021,May,0.439
White Flour,2021,June,0.356
White Flour,2021,July,0.368
White Flour,2021,August,0.371
White Flour,2021,September,0.382
White Flour,2021,October,0.396
White Flour,2021,November,0.386
White Flour,2021,December,0.388
White Flour,2022,January,0.424
White Flour,2022,Febuary,0.428
White Flour,2022,March,0.448
White Flour,2022,April,0.455
White Flour,2022,May,0.456
White Flour,2022,June,0.498
White Flour,2022,July,0.533
White Flour,2022,August,0.549
White Flour,2022,September,0.556
White Flour,2022,October,0.534
White Flour,2022,November,0.524
White Flour,2022,December,0.522
White Flour,2023,January,0.54
White Flour,2023,Febuary,0.55
White Flour,2023,March,0.546
White Flour,2023,April,0.542
White Flour,2023,May,0.544
White Flour,2023,June,0.551
White Flour,2023,July,0.564
White Flour,2023,August,0.566
White Flour,2023,September,0.565
White Flour,2023,October,0.562
White Flour,2023,November,0.541
White Flour,2023,December,0.538
White Flour,2024,January,0.554
White Flour,2024,Febuary,0.558
White Flour,2024,March,0.565
White Flour,2024,April,0.574
White Flour,2024,May,0.57
White Flour,2024,June,0.575
White Flour,2024,July,0.574
White Flour,2024,August,0.574
White Flour,2024,September,0.573
White Flour,2024,October,0.566
White Flour,2024,November,None
White Flour,2024,December,None
Rice,2005,January,0.597
Rice,2005,Febuary,0.575
Rice,2005,March,0.57
Rice,2005,April,0.584
Rice,2005,May,0.552
Rice,2005,June,0.547
Rice,2005,July,0.553
Rice,2005,August,0.532
Rice,2005,September,0.544
Rice,2005,October,0.541
Rice,2005,November,0.53
Rice,2005,December,0.524
Rice,2006,January,0.532
Rice,2006,Febuary,0.534
Rice,2006,March,0.534
Rice,2006,April,0.538
Rice,2006,May,0.549
Rice,2006,June,0.549
Rice,2006,July,0.561
Rice,2006,August,0.565
Rice,2006,September,0.55
Rice,2006,October,0.568
Rice,2006,November,0.555
Rice,2006,December,0.555
Rice,2007,January,0.563
Rice,2007,Febuary,0.554
Rice,2007,March,0.548
Rice,2007,April,0.556
Rice,2007,May,0.544
Rice,2007,June,0.529
Rice,2007,July,0.547
Rice,2007,August,0.551
Rice,2007,September,0.546
Rice,2007,October,0.555
Rice,2007,November,0.544
Rice,2007,December,0.551
Rice,2008,January,0.568
Rice,2008,Febuary,0.583
Rice,2008,March,0.584
Rice,2008,April,0.608
Rice,2008,May,0.704
Rice,2008,June,0.753
Rice,2008,July,0.795
Rice,2008,August,0.854
Rice,2008,September,0.853
Rice,2008,October,0.856
Rice,2008,November,0.82
Rice,2008,December,0.813
Rice,2009,January,0.797
Rice,2009,Febuary,0.783
Rice,2009,March,0.774
Rice,2009,April,0.757
Rice,2009,May,0.773
Rice,2009,June,0.766
Rice,2009,July,0.756
Rice,2009,August,0.752
Rice,2009,September,0.76
Rice,2009,October,0.751
Rice,2009,November,0.768
Rice,2009,December,0.751
Rice,2010,January,0.754
Rice,2010,Febuary,0.759
Rice,2010,March,0.764
Rice,2010,April,0.759
Rice,2010,May,0.746
Rice,2010,June,0.739
Rice,2010,July,0.749
Rice,2010,August,0.743
Rice,2010,September,0.723
Rice,2010,October,0.714
Rice,2010,November,0.71
Rice,2010,December,0.728
Rice,2011,January,0.742
Rice,2011,Febuary,0.747
Rice,2011,March,0.745
Rice,2011,April,0.734
Rice,2011,May,0.767
Rice,2011,June,0.755
Rice,2011,July,0.716
Rice,2011,August,0.715
Rice,2011,September,0.719
Rice,2011,October,0.767
Rice,2011,November,0.752
Rice,2011,December,0.729
Rice,2012,January,0.739
Rice,2012,Febuary,0.718
Rice,2012,March,0.7
Rice,2012,April,0.696
Rice,2012,May,0.677
Rice,2012,June,0.681
Rice,2012,July,0.681
Rice,2012,August,0.683
Rice,2012,September,0.684
Rice,2012,October,0.685
Rice,2012,November,0.704
Rice,2012,December,0.714
Rice,2013,January,0.715
Rice,2013,Febuary,0.708
Rice,2013,March,0.714
Rice,2013,April,0.724
Rice,2013,May,0.702
Rice,2013,June,0.723
Rice,2013,July,0.721
Rice,2013,August,0.737
Rice,2013,September,0.741
Rice,2013,October,0.734
Rice,2013,November,0.729
Rice,2013,December,0.735
Rice,2014,January,0.731
Rice,2014,Febuary,0.732
Rice,2014,March,0.733
Rice,2014,April,0.75
Rice,2014,May,0.739
Rice,2014,June,0.742
Rice,2014,July,0.758
Rice,2014,August,0.737
Rice,2014,September,0.746
Rice,2014,October,0.723
Rice,2014,November,0.717
Rice,2014,December,0.7
Rice,2015,January,0.692
Rice,2015,Febuary,0.689
Rice,2015,March,0.67
Rice,2015,April,0.67
Rice,2015,May,0.676
Rice,2015,June,0.691
Rice,2015,July,0.673
Rice,2015,August,0.669
Rice,2015,September,0.662
Rice,2015,October,0.69
Rice,2015,November,0.732
Rice,2015,December,0.711
Rice,2016,January,0.709
Rice,2016,Febuary,0.707
Rice,2016,March,0.711
Rice,2016,April,0.703
Rice,2016,May,0.747
Rice,2016,June,0.734
Rice,2016,July,0.74
Rice,2016,August,0.729
Rice,2016,September,0.721
Rice,2016,October,0.697
Rice,2016,November,0.703
Rice,2016,December,0.693
Rice,2017,January,0.7
Rice,2017,Febuary,0.695
Rice,2017,March,0.692
Rice,2017,April,0.686
Rice,2017,May,0.726
Rice,2017,June,0.752
Rice,2017,July,0.764
Rice,2017,August,0.753
Rice,2017,September,0.741
Rice,2017,October,0.723
Rice,2017,November,0.712
Rice,2017,December,0.711
Rice,2018,January,0.682
Rice,2018,Febuary,0.691
Rice,2018,March,0.682
Rice,2018,April,0.685
Rice,2018,May,0.698
Rice,2018,June,0.689
Rice,2018,July,0.69
Rice,2018,August,0.705
Rice,2018,September,0.693
Rice,2018,October,0.685
Rice,2018,November,0.711
Rice,2018,December,0.712
Rice,2019,January,0.73
Rice,2019,Febuary,0.762
Rice,2019,March,0.757
Rice,2019,April,0.767
Rice,2019,May,0.761
Rice,2019,June,0.801
Rice,2019,July,0.798
Rice,2019,August,0.793
Rice,2019,September,0.797
Rice,2019,October,0.773
Rice,2019,November,0.721
Rice,2019,December,0.714
Rice,2020,January,0.716
Rice,2020,Febuary,0.734
Rice,2020,March,0.733
Rice,2020,April,None
Rice,2020,May,0.748
Rice,2020,June,0.749
Rice,2020,July,0.772
Rice,2020,August,0.769
Rice,2020,September,0.777
Rice,2020,October,0.766
Rice,2020,November,0.791
Rice,2021,December,0.789
Rice,2021,January,0.794
Rice,2021,Febuary,0.779
Rice,2021,March,0.772
Rice,2021,April,0.785
Rice,2021,May,0.801
Rice,2021,June,0.778
Rice,2021,July,0.782
Rice,2021,August,0.784
Rice,2021,September,0.798
Rice,2021,October,0.788
Rice,2021,November,0.844
Rice,2022,December,0.82
Rice,2022,January,0.832
Rice,2022,Febuary,0.83
Rice,2022,March,0.871
Rice,2022,April,0.9
Rice,2022,May,0.909
Rice,2022,June,0.924
Rice,2022,July,0.929
Rice,2022,August,0.925
Rice,2022,September,0.939
Rice,2022,October,0.963
Rice,2022,November,0.963
Rice,2023,December,0.971
Rice,2023,January,0.97
Rice,2023,Febuary,0.959
Rice,2023,March,0.982
Rice,2023,April,0.98
Rice,2023,May,0.997
Rice,2023,June,1.003
Rice,2023,July,1.006
Rice,2023,August,0.997
Rice,2023,September,0.981
Rice,2023,October,0.96
Rice,2023,November,0.992
Rice,2024,December,0.99
Rice,2024,January,1
Rice,2024,Febuary,1.001
Rice,2024,March,1.014
Rice,2024,April,1.025
Rice,2024,May,1.002
Rice,2024,June,1.018
Rice,2024,July,1.039
Rice,2024,August,1.085
Rice,2024,September,1.078
Rice,2024,October,1.056
Rice,2024,November,None
Rice,2024,December,None
Pasta,2005,January,0.945
Pasta,2005,Febuary,0.938
Pasta,2005,March,0.959
Pasta,2005,April,0.958
Pasta,2005,May,0.903
Pasta,2005,June,0.869
Pasta,2005,July,0.84
Pasta,2005,August,0.902
Pasta,2005,September,0.86
Pasta,2005,October,0.893
Pasta,2005,November,0.847
Pasta,2005,December,0.87
Pasta,2006,January,0.837
Pasta,2006,Febuary,0.848
Pasta,2006,March,0.884
Pasta,2006,April,0.837
Pasta,2006,May,0.849
Pasta,2006,June,0.837
Pasta,2006,July,0.854
Pasta,2006,August,0.863
Pasta,2006,September,0.878
Pasta,2006,October,0.86
Pasta,2006,November,0.868
Pasta,2006,December,0.887
Pasta,2007,January,0.856
Pasta,2007,Febuary,0.895
Pasta,2007,March,0.91
Pasta,2007,April,0.928
Pasta,2007,May,0.862
Pasta,2007,June,0.878
Pasta,2007,July,0.893
Pasta,2007,August,0.868
Pasta,2007,September,0.871
Pasta,2007,October,0.849
Pasta,2007,November,0.844
Pasta,2007,December,0.846
Pasta,2008,January,1.017
Pasta,2008,Febuary,1.104
Pasta,2008,March,1.079
Pasta,2008,April,1.118
Pasta,2008,May,1.101
Pasta,2008,June,1.117
Pasta,2008,July,1.148
Pasta,2008,August,1.139
Pasta,2008,September,1.147
Pasta,2008,October,1.189
Pasta,2008,November,1.147
Pasta,2008,December,1.134
Pasta,2009,January,1.131
Pasta,2009,Febuary,1.133
Pasta,2009,March,1.139
Pasta,2009,April,1.122
Pasta,2009,May,1.174
Pasta,2009,June,1.178
Pasta,2009,July,1.198
Pasta,2009,August,1.226
Pasta,2009,September,1.141
Pasta,2009,October,1.168
Pasta,2009,November,1.193
Pasta,2009,December,1.169
Pasta,2010,January,1.147
Pasta,2010,Febuary,1.163
Pasta,2010,March,1.145
Pasta,2010,April,1.132
Pasta,2010,May,1.092
Pasta,2010,June,1.117
Pasta,2010,July,1.103
Pasta,2010,August,1.118
Pasta,2010,September,1.148
Pasta,2010,October,1.153
Pasta,2010,November,1.141
Pasta,2010,December,1.191
Pasta,2011,January,1.209
Pasta,2011,Febuary,1.116
Pasta,2011,March,1.197
Pasta,2011,April,1.173
Pasta,2011,May,1.231
Pasta,2011,June,1.248
Pasta,2011,July,1.269
Pasta,2011,August,1.279
Pasta,2011,September,1.27
Pasta,2011,October,1.279
Pasta,2011,November,1.328
Pasta,2011,December,1.306
Pasta,2012,January,1.317
Pasta,2012,Febuary,1.311
Pasta,2012,March,1.271
Pasta,2012,April,1.316
Pasta,2012,May,1.344
Pasta,2012,June,1.332
Pasta,2012,July,1.369
Pasta,2012,August,1.361
Pasta,2012,September,1.319
Pasta,2012,October,1.281
Pasta,2012,November,1.326
Pasta,2012,December,1.312
Pasta,2013,January,1.276
Pasta,2013,Febuary,1.348
Pasta,2013,March,1.323
Pasta,2013,April,1.286
Pasta,2013,May,1.371
Pasta,2013,June,1.304
Pasta,2013,July,1.314
Pasta,2013,August,1.296
Pasta,2013,September,1.3
Pasta,2013,October,1.283
Pasta,2013,November,1.294
Pasta,2013,December,1.263
Pasta,2014,January,1.29
Pasta,2014,Febuary,1.265
Pasta,2014,March,1.307
Pasta,2014,April,1.241
Pasta,2014,May,1.301
Pasta,2014,June,1.267
Pasta,2014,July,1.324
Pasta,2014,August,1.375
Pasta,2014,September,1.35
Pasta,2014,October,1.266
Pasta,2014,November,1.245
Pasta,2014,December,1.164
Pasta,2015,January,1.264
Pasta,2015,Febuary,1.319
Pasta,2015,March,1.392
Pasta,2015,April,1.337
Pasta,2015,May,1.335
Pasta,2015,June,1.36
Pasta,2015,July,1.325
Pasta,2015,August,1.351
Pasta,2015,September,1.282
Pasta,2015,October,1.297
Pasta,2015,November,1.266
Pasta,2015,December,1.292
Pasta,2016,January,1.265
Pasta,2016,Febuary,1.309
Pasta,2016,March,1.341
Pasta,2016,April,1.294
Pasta,2016,May,1.32
Pasta,2016,June,1.292
Pasta,2016,July,1.32
Pasta,2016,August,1.292
Pasta,2016,September,1.289
Pasta,2016,October,1.292
Pasta,2016,November,1.302
Pasta,2016,December,1.287
Pasta,2017,January,1.31
Pasta,2017,Febuary,1.29
Pasta,2017,March,1.265
Pasta,2017,April,1.271
Pasta,2017,May,1.272
Pasta,2017,June,1.281
Pasta,2017,July,1.294
Pasta,2017,August,1.305
Pasta,2017,September,1.299
Pasta,2017,October,1.259
Pasta,2017,November,1.242
Pasta,2017,December,1.235
Pasta,2018,January,1.218
Pasta,2018,Febuary,1.176
Pasta,2018,March,1.187
Pasta,2018,April,1.176
Pasta,2018,May,1.143
Pasta,2018,June,1.201
Pasta,2018,July,1.204
Pasta,2018,August,1.227
Pasta,2018,September,1.2
Pasta,2018,October,1.138
Pasta,2018,November,1.196
Pasta,2018,December,1.161
Pasta,2019,January,1.217
Pasta,2019,Febuary,1.206
Pasta,2019,March,1.237
Pasta,2019,April,1.223
Pasta,2019,May,1.197
Pasta,2019,June,1.192
Pasta,2019,July,1.198
Pasta,2019,August,1.215
Pasta,2019,September,1.184
Pasta,2019,October,1.178
Pasta,2019,November,1.231
Pasta,2019,December,1.189
Pasta,2020,January,1.225
Pasta,2020,Febuary,1.235
Pasta,2020,March,1.238
Pasta,2020,April,1.265
Pasta,2020,May,1.26
Pasta,2020,June,1.28
Pasta,2020,July,1.295
Pasta,2020,August,1.303
Pasta,2020,September,1.256
Pasta,2020,October,1.22
Pasta,2020,November,1.262
Pasta,2020,December,1.313
Pasta,2021,January,1.314
Pasta,2021,Febuary,1.324
Pasta,2021,March,1.341
Pasta,2021,April,1.251
Pasta,2021,May,1.336
Pasta,2021,June,1.073
Pasta,2021,July,1.094
Pasta,2021,August,1.089
Pasta,2021,September,1.077
