car_make,car_color
Aston Martin,Green
Dodge,Fuscia
Acura,Teal
BMW,Red
Lincoln,Maroon
Volkswagen,Maroon
Lotus,Green
Honda,Turquoise
Audi,Turquoise
Pontiac,Turquoise
Chrysler,Pink
Pontiac,Mauv
Hyundai,Indigo
Toyota,Puce
Nissan,Red
Ram,Orange
Toyota,Red
Saab,Goldenrod
Toyota,Puce
Chrysler,Goldenrod
Maybach,Maroon
Land Rover,Goldenrod
Rolls-Royce,Turquoise
Dodge,Purple
Toyota,Red
Chevrolet,Puce
Subaru,Purple
Eagle,Orange
Mazda,Turquoise
Lincoln,Puce
Chrysler,Khaki
Toyota,Indigo
Jeep,Puce
Hyundai,Green
Audi,Red
Dodge,Purple
Buick,Teal
Mitsubishi,Khaki
Chevrolet,Mauv
Mazda,Indigo
Chevrolet,Goldenrod
Lexus,Orange
Volkswagen,Puce
Mazda,Mauv
Lotus,Pink
Ford,Orange
Mitsubishi,Puce
Pontiac,Yellow
Ford,Orange
Ford,Puce
Pontiac,Mauv
Aston Martin,Mauv
Chevrolet,Aquamarine
Suzuki,Pink
Ford,Aquamarine
Mitsubishi,Aquamarine
Audi,Maroon
GMC,Mauv
Chrysler,Teal
Toyota,Turquoise
Volkswagen,Green
Audi,Red
Buick,Turquoise
Mazda,Teal
Volkswagen,Goldenrod
Ford,Crimson
Toyota,Purple
Ford,Green
Volkswagen,Fuscia
GMC,Crimson
Dodge,Pink
Audi,Crimson
Kia,Aquamarine
Ford,Turquoise
Honda,Fuscia
Chevrolet,Purple
Audi,Maroon
Chrysler,Green
GMC,Fuscia
Chrysler,Violet
Bentley,Khaki
Dodge,Crimson
Mitsubishi,Puce
Chevrolet,Purple
Nissan,Pink
Pontiac,Blue
Buick,Fuscia
Buick,Purple
Cadillac,Violet
Honda,Purple
Chevrolet,Green
Volkswagen,Yellow
Mazda,Purple
Jaguar,Pink
GMC,Mauv
Hyundai,Crimson
Porsche,Aquamarine
Ferrari,Orange
Pontiac,Fuscia
Toyota,Blue
Nissan,Pink
Oldsmobile,Aquamarine
Oldsmobile,Aquamarine
Dodge,Turquoise
Volkswagen,Crimson
Dodge,Aquamarine
Chevrolet,Turquoise
Pontiac,Blue
Ford,Goldenrod
Chevrolet,Maroon
Toyota,Yellow
Subaru,Violet
Buick,Maroon
Nissan,Indigo
Ford,Crimson
Spyker,Pink
Ford,Green
Dodge,Green
Lincoln,Teal
Mitsubishi,Turquoise
Volkswagen,Puce
Kia,Goldenrod
GMC,Indigo
Volkswagen,Teal
Rolls-Royce,Blue
Kia,Teal
Volvo,Goldenrod
Chevrolet,Goldenrod
Audi,Indigo
Nissan,Crimson
Kia,Pink
Buick,Aquamarine
Chrysler,Yellow
Toyota,Green
Ford,Blue
Ford,Yellow
Mazda,Green
Ford,Khaki
Hyundai,Blue
Porsche,Mauv
Ford,Turquoise
Mazda,Puce
Audi,Purple
Mercedes-Benz,Puce
Mazda,Mauv
Mazda,Goldenrod
BMW,Goldenrod
Chevrolet,Purple
Honda,Violet
Hyundai,Yellow
Kia,Turquoise
Land Rover,Mauv
Chevrolet,Fuscia
Chevrolet,Yellow
Volkswagen,Violet
Chevrolet,Red
Chevrolet,Orange
Land Rover,Violet
Lexus,Aquamarine
Lamborghini,Maroon
Lotus,Indigo
Dodge,Maroon
Volkswagen,Indigo
Dodge,Purple
Chevrolet,Blue
Mitsubishi,Goldenrod
GMC,Aquamarine
Toyota,Khaki
Mercury,Violet
BMW,Blue
Scion,Maroon
Ford,Blue
Toyota,Khaki
BMW,Mauv
Jeep,Blue
Hummer,Crimson
Daihatsu,Mauv
GMC,Teal
BMW,Maroon
Isuzu,Fuscia
Chevrolet,Pink
Dodge,Puce
Mercedes-Benz,Goldenrod
Lincoln,Violet
Toyota,Fuscia
Plymouth,Turquoise
Lexus,Aquamarine
Chevrolet,Blue
Lotus,Turquoise
Toyota,Indigo
Mazda,Goldenrod
Audi,Violet
Land Rover,Pink
Ford,Red
Rolls-Royce,Aquamarine
GMC,Mauv
Chevrolet,Red
Honda,Blue
Jeep,Crimson
Honda,Crimson
Mercury,Orange
Chevrolet,Violet
Mazda,Mauv
Ford,Yellow
Lincoln,Turquoise
Chrysler,Crimson
GMC,Maroon
Audi,Violet
Audi,Blue
Chevrolet,Purple
Volkswagen,Mauv
Ford,Aquamarine
BMW,Pink
Cadillac,Khaki
Buick,Maroon
Suzuki,Violet
GMC,Blue
Nissan,Aquamarine
Mercedes-Benz,Yellow
Hyundai,Maroon
Mitsubishi,Aquamarine
Pontiac,Aquamarine
BMW,Green
Mercedes-Benz,Teal
Buick,Aquamarine
Acura,Pink
Pontiac,Puce
Volvo,Purple
Pontiac,Turquoise
Chevrolet,Maroon
BMW,Aquamarine
Chevrolet,Mauv
BMW,Fuscia
Mercedes-Benz,Pink
Aston Martin,Teal
Nissan,Maroon
Maserati,Purple
Ford,Aquamarine
Toyota,Purple
Ford,Teal
Chevrolet,Pink
Toyota,Crimson
Mercedes-Benz,Mauv
Lincoln,Green
Mazda,Goldenrod
Cadillac,Maroon
Saab,Purple
Mercury,Fuscia
Dodge,Red
Hyundai,Maroon
Mazda,Teal
Mercury,Crimson
GMC,Turquoise
Chrysler,Teal
Lamborghini,Indigo
BMW,Blue
BMW,Green
Honda,Orange
Lamborghini,Teal
Mercedes-Benz,Pink
Pontiac,Crimson
Nissan,Pink
Mazda,Purple
Dodge,Yellow
Lexus,Yellow
Maybach,Mauv
Toyota,Maroon
Volkswagen,Khaki
Audi,Maroon
Volkswagen,Red
GMC,Mauv
