id,bun,patty
1,potato,pork
2,whole wheat,beef
3,brioche,veggie
4,sesame,chicken
5,brioche,fish
6,pretzel,fish
7,whole wheat,pork
8,brioche,fish
9,sesame,beef
10,sesame,chicken
11,sesame,beef
12,sesame,turkey
13,brioche,pork
14,sesame,turkey
15,potato,veggie
16,potato,beef
17,pretzel,turkey
18,pretzel,beef
19,brioche,fish
20,sesame,fish
21,potato,beef
22,pretzel,pork
23,pretzel,veggie
24,pretzel,turkey
25,whole wheat,turkey
26,brioche,chicken
27,whole wheat,veggie
28,whole wheat,fish
29,pretzel,chicken
30,pretzel,pork
31,sesame,fish
32,pretzel,fish
33,pretzel,turkey
34,potato,veggie
35,potato,fish
36,potato,veggie
37,whole wheat,beef
38,brioche,pork
39,sesame,beef
40,pretzel,veggie
41,brioche,veggie
42,potato,turkey
43,sesame,fish
44,potato,beef
45,pretzel,veggie
46,whole wheat,veggie
47,pretzel,veggie
48,potato,beef
49,pretzel,fish
50,potato,pork
51,pretzel,chicken
52,pretzel,fish
53,brioche,turkey
54,sesame,veggie
55,whole wheat,chicken
56,whole wheat,veggie
57,brioche,chicken
58,whole wheat,pork
59,potato,turkey
60,brioche,turkey
61,pretzel,veggie
62,brioche,veggie
63,whole wheat,pork
64,whole wheat,turkey
65,potato,veggie
66,whole wheat,beef
67,sesame,beef
68,brioche,pork
69,sesame,beef
70,whole wheat,veggie
71,whole wheat,fish
72,sesame,chicken
73,brioche,pork
74,whole wheat,veggie
75,sesame,chicken
76,potato,beef
77,brioche,turkey
78,pretzel,pork
79,sesame,chicken
80,potato,turkey
81,pretzel,beef
82,brioche,chicken
83,sesame,pork
84,pretzel,fish
85,whole wheat,fish
86,brioche,turkey
87,potato,veggie
88,sesame,chicken
89,pretzel,pork
90,potato,chicken
91,pretzel,chicken
92,potato,pork
93,sesame,veggie
94,potato,beef
95,brioche,veggie
96,whole wheat,chicken
97,potato,chicken
98,potato,chicken
99,brioche,fish
100,potato,chicken
101,sesame,fish
102,brioche,pork
103,whole wheat,chicken
104,pretzel,fish
105,pretzel,pork
106,pretzel,pork
107,brioche,pork
108,potato,fish
109,pretzel,chicken
110,pretzel,pork
111,potato,turkey
112,sesame,veggie
113,potato,turkey
114,potato,fish
115,brioche,veggie
116,sesame,beef
117,brioche,veggie
118,whole wheat,pork
119,pretzel,pork
120,sesame,fish
121,pretzel,fish
122,potato,turkey
123,brioche,beef
124,brioche,fish
125,sesame,chicken
126,brioche,chicken
127,sesame,beef
128,whole wheat,beef
129,brioche,veggie
130,sesame,chicken
131,pretzel,pork
132,sesame,chicken
133,sesame,beef
134,potato,chicken
135,whole wheat,turkey
136,whole wheat,fish
137,potato,pork
138,pretzel,pork
139,brioche,pork
140,potato,fish
141,sesame,turkey
142,sesame,beef
143,pretzel,fish
144,pretzel,beef
145,potato,beef
146,sesame,turkey
147,brioche,veggie
148,potato,fish
149,whole wheat,turkey
150,sesame,veggie
151,brioche,chicken
152,brioche,beef
153,whole wheat,veggie
154,brioche,pork
155,brioche,chicken
156,whole wheat,fish
157,potato,veggie
158,sesame,turkey
159,pretzel,fish
160,whole wheat,pork
161,pretzel,beef
162,pretzel,veggie
163,whole wheat,chicken
164,brioche,chicken
165,whole wheat,veggie
166,sesame,chicken
167,potato,veggie
168,sesame,veggie
169,pretzel,pork
170,potato,turkey
171,pretzel,turkey
172,potato,beef
173,sesame,chicken
174,sesame,beef
175,brioche,veggie
176,sesame,turkey
177,pretzel,veggie
178,potato,pork
179,brioche,chicken
180,brioche,pork
181,pretzel,pork
182,potato,chicken
183,brioche,chicken
184,potato,turkey
185,whole wheat,fish
186,pretzel,beef
187,brioche,chicken
188,brioche,pork
189,sesame,turkey
190,whole wheat,veggie
191,sesame,beef
192,brioche,chicken
193,whole wheat,fish
194,potato,veggie
195,pretzel,turkey
196,brioche,turkey
197,potato,turkey
198,potato,pork
199,whole wheat,turkey
200,sesame,turkey
201,whole wheat,beef
202,pretzel,fish
203,sesame,fish
204,sesame,veggie
205,brioche,veggie
206,sesame,veggie
207,whole wheat,pork
208,pretzel,veggie
209,whole wheat,chicken
210,brioche,fish
211,potato,veggie
212,sesame,veggie
213,pretzel,pork
214,pretzel,veggie
215,brioche,fish
216,potato,beef
217,potato,turkey
218,pretzel,chicken
219,brioche,beef
220,sesame,chicken
221,brioche,beef
222,pretzel,veggie
223,brioche,beef
224,pretzel,veggie
225,potato,fish
226,sesame,chicken
227,whole wheat,pork
228,pretzel,fish
229,potato,veggie
230,potato,pork
231,potato,veggie
232,brioche,chicken
233,pretzel,chicken
234,sesame,turkey
235,whole wheat,beef
236,brioche,chicken
237,pretzel,beef
238,brioche,beef
239,whole wheat,turkey
240,potato,veggie
241,sesame,pork
242,brioche,chicken
243,sesame,veggie
244,potato,fish
245,whole wheat,pork
246,sesame,veggie
247,brioche,chicken
248,sesame,veggie
249,pretzel,beef
250,whole wheat,turkey
251,sesame,turkey
252,brioche,fish
253,whole wheat,pork
254,whole wheat,veggie
255,potato,beef
256,brioche,fish
257,potato,beef
258,brioche,fish
259,brioche,beef
260,whole wheat,beef
261,sesame,veggie
262,sesame,chicken
263,sesame,turkey
264,potato,turkey
265,whole wheat,pork
266,sesame,beef
267,pretzel,beef
268,whole wheat,fish
269,potato,pork
270,pretzel,beef
271,pretzel,fish
272,sesame,beef
273,whole wheat,veggie
274,sesame,beef
275,whole wheat,beef
276,sesame,pork
277,brioche,chicken
278,whole wheat,beef
279,potato,fish
280,sesame,turkey
281,potato,chicken
282,brioche,veggie
283,brioche,veggie
284,pretzel,turkey
285,pretzel,turkey
286,potato,beef
287,whole wheat,fish
288,sesame,beef
289,potato,chicken
290,sesame,chicken
291,brioche,chicken
292,brioche,beef
293,pretzel,beef
294,brioche,veggie
295,potato,pork
296,potato,pork
297,sesame,turkey
298,pretzel,pork
299,sesame,turkey
300,sesame,pork
301,sesame,veggie
302,pretzel,chicken
303,pretzel,beef
304,potato,turkey
305,potato,chicken
306,whole wheat,pork
307,pretzel,turkey
308,brioche,veggie
309,whole wheat,chicken
310,potato,pork
311,sesame,veggie
312,sesame,beef
313,sesame,beef
314,brioche,pork
315,whole wheat,fish
316,brioche,beef
317,brioche,veggie
318,potato,fish
319,whole wheat,veggie
320,sesame,beef
321,pretzel,chicken
322,brioche,turkey
323,sesame,veggie
324,brioche,veggie
325,pretzel,chicken
326,brioche,chicken
327,potato,veggie
328,sesame,pork
329,potato,veggie
330,potato,pork
331,sesame,veggie
332,sesame,fish
333,sesame,pork
334,sesame,beef
335,whole wheat,fish
336,pretzel,veggie
337,brioche,veggie
338,brioche,pork
339,sesame,veggie
340,brioche,fish
341,whole wheat,chicken
342,brioche,chicken
343,potato,beef
344,potato,fish
345,sesame,beef
346,sesame,beef
347,sesame,turkey
348,pretzel,turkey
349,sesame,fish
350,pretzel,fish
351,brioche,beef
352,pretzel,veggie
353,pretzel,chicken
354,pretzel,veggie
355,whole wheat,beef
356,brioche,beef
357,sesame,fish
358,potato,chicken
359,potato,veggie
360,whole wheat,fish
361,potato,beef
362,brioche,fish
363,potato,fish
